clean_text,stemmed_text,lemmatized_text,sentiment
milhoes vdd ne muita forca p mundo ta foda,milho vdd ne muit forc p mund ta fod,Milhoes vdd ne muito forca p Mundo ta foda,0
eleitor bolsonaro lul claro indo,eleitor bolsonar lul clar indo,eleitor bolsonaro lul claro ir,1
n fica tristinha,n fic tristinh,n ficar tristinha,0
hoje rolar sessao rpg nego insistiu pra ladino tank dg divertido,hoj rol sessa rpg neg insist pra ladin tank dg divert,hoje rolar sessao rpg Nego insistir pra ladino tank dg divertido,1
nao fascista fascista candidato,nao fascist fascist candidat,nao fascista fascista candidato,1
ja ate imagino,ja ate imagin,ja ate imaginar,0
droga,drog,droga,0
cafunezinbo,cafunezinb,cafunezinbo,0
medo andar sozinha barreiro arredores fdp idade serem pais metessem canto deixassem pessoas paz,med andar sozinh barreir arredor fdp idad ser pais met cant deix pesso paz,medo andar sozinha Barreiro arredores fdp idade ser pai meter canto deixar pessoa paz,1
ve la queres levar,ve la quer lev,ve la quere levar,1
nois tamo junto d,nois tam junt d,nois tamo junto d,1
voce perturba mina pouquinho so,voc perturb min pouquinh so,voce perturba Mina pouquinho so,1
alguem pra jogar cmg,algu pra jog cmg,alguir pra jogar cmg,0
chega angustiante,cheg angusti,chegar angustiante,0
tao doente,tao doent,tao doente,0
alemanha acima,alemanh acim,alemar acima,0
mulher hummels tirar fotos hahahah hora d,mulh hummels tir fot hahahah hor d,mulher hummels tirar foto hahahah hora d,1
kabum ninguem sofre,kabum ningu sofr,kabum ninguem sofrer,1
xixi nao banheiro sozinha,xix nao banheir sozinh,xixi nao banheiro sozinha,0
triste gente identifica preconceitos bolsonaro triste ficar sabendo amigos identifica tbm,trist gent identif preconceit bolsonar trist fic sab amig identif tbm,tristir gente identifico preconceito bolsonaro tristir ficar saber amigo identifico tbm,0
pq nao seguiu volta,pq nao segu volt,pq nao seguir volta,0
curtia kasa ya vou ficar casa dada maratona filmes,curt kas ya vou fic cas dad maraton film,curtir kasa ya ir ficar casa dar maratona filme,1
ces tao combinando botar ciro bolha avisar galera pobre coronel melhor opcao,ces tao combin bot cir bolh avis gal pobr coronel melhor opca,ces tao combinar botar ciro bolha avisar galera pobre coronel bom opcao,1
esperancas brasil triste,esperanc brasil trist,esperanca Brasil tristir,0
poxa poxa tbm amo mt,pox pox tbm amo mt,poxa poxar tbm amo mt,0
queria participar grupinho tt meninas malvadas,quer particip grupinh tt menin malv,querer participar grupinho tt menina malvar,0
olha vi mt gente preciosa atuando ganhei trufa professor queimado pipoca cvs cabeca silas to bandaid maneirissimo homem ferro pe orgulhei passei mat,olha vi mt gent precios atu ganh truf professor queim pipoc cvs cabec sil to bandaid maneirissim hom ferr pe orgulh pass mat,olhar ver mt gente precioso atuar ganhei trufa professor queimar pipocar cvs cabeco silas to bandaid maneirissimo homem ferro pe orgulhei passar mat,1
blz nao tao simples galera esquece mt gente nao rede social queria mt,blz nao tao simpl gal esquec mt gent nao red social quer mt,blz nao tao simples galera esquecer mt gente nao rede social querer mt,0
trechos musicas frases simone simaria,trech music fras simon sim,trecho musico frases simone simario,1
aguarde,aguard,aguarder,1
tomara to entendendo quase anima to cagaco doido nao conseguir entender pecas igual perdido estudo vao,tom to entend quas anim to cagac doid nao consegu entend pec igual perd estud vao,tomar to entender quase animo to cagaco doir nao conseguir entender peca igual perder estudo vao,0
lamentavel,lamentavel,lamentavel,0
fico tao triste amigo sinto muita dai vejo ta complicado,fic tao trist amig sint muit dai vej ta complic,fico tao tristir amigo sinto muito dai vejo ta complicado,0
nao nao doer,nao nao doer,nao nao doer,0
digas pretendo peliar contigo,dig pret peli contig,diga preter peliar contigo,1
to ate conseguir dormir causa dor,to ate consegu dorm caus dor,to ate conseguir dormir causa dor,0
sorriso tao lindo queria felicidade,sorris tao lind quer felic,sorriso tao lir querer felicidade,0
nao precisa agradecer gege ta legal tirando acontecimentos ficar paz nao ja ia passar nervoso ja acontecido quase mes voce hein,nao precis agradec geg ta legal tir acontec fic paz nao ja ia pass nervos ja acontec quas mes voc hein,nao precisar agradecer gege ta legal tirar acontecimento ficar paz nao ja ir passar nervoso ja acontecer quase mes voce hein,0
tava lembrando show mamamoo tambem amanha mes,tav lembr show mamamo tamb amanh mes,tar lembrar show mamamoo tambem amanho mes,0
problemas anjo,problem anjo,problema anjor,1
so pra avisar manda eleicoes nordeste perceberam nao destilem preconceitoodio vcs nao nordestinos,so pra avis mand eleico nord perceb nao destil preconceitoodi vcs nao nordestin,so pra avisar manda eleicoe nordeste perceber nao destilem preconceitoodio vcs nao nordestino,1
dia d,dia d,dia d,1
bonitinho deixou,bonitinh deix,bonitinho deixar,0
problema livros obrigatorios vestibular sugestao,problem livr obrigatori vestibul sugesta,problema livro obrigatorio vestibular sugestao,1
ai saudade epoca aiiii,ai saudad epoc aiiii,ai saudade epoca aiiii,0
vou apedrejada honestamente acho mullet pessimo circunstancia importa satisfeito ta feliz entao to achando linda,vou apedrej honest acho mullet pessim circunstanc import satisfeit ta feliz enta to achand lind,ir apedrejar honestamente achar mullet pessimo circunstancia importar satisfeito ta feliz entao to achar linda,1
puts trolo,puts trol,puts trolo,0
bloqueia tambem d,bloqu tamb d,bloqueia tamber d,1
pai nao pede pra,pai nao ped pra,pai nao pedir pra,1
hoje q to atrasada chefe manda mensagem falando q ta chave,hoj q to atras chef mand mensag fal q ta chav,hoje q to atrasar chefe mandar mensagem falar q ta chave,1
exatamente precisamos aliados semana pra voce amigo,exat precis ali seman pra voc amig,exatamente precisamo aliado semana pra voce amigo,1
bonoro perde ano galera fica gt galera ve dacciollo falando corrupcao destruindo presidenciaveis fica,bonor perd ano gal fic gt gal ve daccioll fal corrupca destru presidenciav fic,bonoro perder ano galerar ficar gt galera ve dacciollo falar corrupcao destruir presidenciavel ficar,1
achei resolveria,ache resolv,achar resolver,0
paulista nao sabem votar pq frota candidato completamente hiprocrita prega coisas completamente diferentes nao sabem votar pq nao elegeram suplicy cara foda,paulist nao sab vot pq frot candidat complet hiprocrit preg cois complet diferent nao sab vot pq nao eleg suplicy car fod,paulista nao saber votar pq frota candidato completamente hiprocritar pregar coisa completamente diferente nao saber votar pq nao eleger Suplicy car fodo,1
aham oq gt,aham oq gt,ahar oq gt,0
absurdo pais gente ta vivendo,absurd pais gent ta viv,absurdo pai gente ta viver,0
acho nao pq odio ta coiso representa mto unica q,acho nao pq odi ta cois represent mto unic q,achar nao pq odio ta coiso representar mto unico q,0
so secretaria medico q ganha coisas,so secret medic q ganh cois,so Secretaria medico q ganhar coisa,0
psico nao inscrevi pq achei pra casa ne,psic nao inscrev pq ache pra cas ne,psico naor inscrevi pq achar pra casa ne,0
sequer fiz relatorio zamboti aaaaaaaaaa ficar fazendo amanha aula calculo,sequ fiz relatori zambot aaaaaaaaaa fic faz amanh aul calcul,sequer fiz relatorio zamboti aaaaaaaaaa ficar fazer amanho aula calculo,0
historia ta plano governo nao cola pq nao real ue bolsonaro queria acabar congressoou nao sabiaah nao presidente cria constituicao nao criada nao presidente q,histor ta plan govern nao col pq nao real ue bolsonar quer acab congresso nao sabiaah nao president cri constituica nao cri nao president q,histor ta plano Governo nao colar pq nao Real ue Bolsonaro querer acabar congressoar nao sabiaah nao presidente criar constituicao nao criar nao presidente q,1
ha so grato deus tela rede amigos pessoal carinhos anjo,ha so grat deus tel red amig pessoal carinh anjo,ha so grato deus tela rede amigo pessoal carinho anjo,1
dias p anos,dias p anos,dia p ano,1
foo ebfdbefaceb,foo ebfdbefaceb,foo ebfdbefaceb,1
fico tao triste nordestinos falando pais nordeste fico triste amigos falando bolsa familia caralhooooo auxilio ajuda gente pra caralho filho putaaaa so fala pq privilegiado filho puta,fic tao trist nordestin fal pais nord fic trist amig fal bols famil caralhoooo auxili ajud gent pra caralh filh putaaa so fal pq privilegi filh put,fico tao triste nordestino falar pai nordeste fico triste amigo falar Bolsa familiar caralhooooo auxilio ajudar gente pra caralho Filho Putaaaa so falar pq privilegiar filho puta,0
acho decidi,acho decid,achar decidi,1
lo negar,lo neg,lo negar,1
infelizmente,infeliz,infelizmente,0
mae falando queria conversar comigo reacao resultado eleicao nao queria falar politica coiso infelizmente pessoas nao tocaram nao so politica alem,mae fal quer convers comig reaca result eleica nao quer fal polit cois infeliz pesso nao toc nao so polit alem,mae falar querer conversar comigo reacao resultado eleicao nao querer falar politico coiso infelizmente pessoa nao tocar nao so politica aler,0
mario bros,mari bros,Mario bro,1
ai fav ta infelizmente to escola mass,ai fav ta infeliz to escol mass,ai fav ta infelizmente to Escola Mass,0
acho q piorar,acho q pior,achar q piorar,1
rapaz bateu desalento hoje,rapaz bat desalent hoj,rapaz bater desalento hoje,0
buscalo restaurante fundo rua semana nuno,buscal restaur fund rua seman nun,buscalo restaurante fundo rua semana Nuno,1
ai mt ruim assistir sabendo,ai mt ruim assist sab,ai mt ruim assistir saber,0
comprei,compr,compr,1
votei fiquei triste colocacao,vot fiqu trist colocaca,votar fiquei tristir colocacao,0
bah dia,bah dia,bah dia,1
caraio sera vou cirar nao queria,carai ser vou cir nao quer,caraio serar ir cirar nao querer,0
aaai qr conta insta,aaai qr cont insta,aaai qr conta insto,0
proximo domingo precisam titulo votar nao emprestar,proxim doming precis titul vot nao emprest,proximo domingo precisar titulo votar nao emprestar,1
alguem fifa digital p emprestar,algu fif digital p emprest,alguer fifa digital p emprestar,1
entao desculpe,enta desculp,entao desculpe,1
sorriso faca lindo surgir rosto tambem,sorris fac lind surg rost tamb,sorriso facar lir surgir ror tambem,1
ficando alguem yep,fic algu yep,ficar alguir yep,1
humanos humanas nao,human human nao,humano humano nao,1
leiam vinncent,lei vinncent,leer vinncent,1
dexter baco black alien globo so peguei,dext bac black alien glob so pegu,dexter baco black alien globo so peguei,0
n vou mentir tirei trancas jeito q menina trancou fudeu cabelo todinho ta super embolado,n vou ment tir tranc jeit q menin tranc fud cabel todinh ta sup embol,n ir mentir tirar tranco jeito q menina trancar fuder cabelo todinho ta super embolar,0
exatamente pra curar diazinho ruim gente oferece comida fica ate melhor,exat pra cur diazinh ruim gent oferec com fic ate melhor,exatamente pra curar diazinho ruim gente oferecer comida ficar ate bom,0
q faco gata soltar passarinho,q fac gat solt passarinh,q faco gata soltar passarinho,0
iti amo pitoquinhos,iti amo pitoquinh,iti amo pitoquinho,1
nao thales,nao thal,nao thale,0
bar cebabac,bar cebabac,bar Cebabac,0
pra frente rapaizee atirar,pra frent rapaize atir,pra frente rapaizeer atirar,1
mariana deixou preocupadissima hoje estomago ardia revirava,marian deix preocupadissim hoj estomag ardi revir,mariana deixar preocupadissima hoje estomago ardia revirar,0
tao burra dado mt importancia nao merece mm p,tao burr dad mt importanc nao merec mm p,tao burra dar mt importancia nao merecer mm p,1
incrivel voce quase lema vida raystyle zinlife djlife zumba fitness zin ray lucas,incrivel voc quas lem vid raystyl zinlif djlif zumb fitness zin ray luc,incrivel voce quase lema vida raystyle zinlife djlife zumba Fitness zin Ray luco,1
dia amor vida,dia amor vid,dia amor vido,0
leva,lev,levar,1
nao consigo dormir cabeca ta,nao consig dorm cabec ta,nao consigo dormir cabeca ta,0
n consegui adesivinho elenao agr n acho,n consegu adesivinh elena agr n acho,n consegui adesivinho elenaor agr n acho,0
nao preocupe nao pensei so curiosidade caso queira falar p,nao preocup nao pens so curios cas queir fal p,nao preocupe nao pensar so curiosidade caso querer falar p,1
to,to,to,0
cabeca nao estao isentos culpa gente analisar calma consciencia projetos q candidatos apresentam entao perguntar projeto atraiu bolsonaro tomar decisao pfvr ofensas,cabec nao esta isent culp gent analis calm conscienc projet q candidat apresent enta pergunt projet atra bolsonar tom decisa pfvr ofens,Cabeca nao estao isento culpa gente analisar calmo consciencio projeto q candidato apresentar entao perguntar projeto atrair bolsonaro tomar decisao pfvr ofenso,1
ai pesquisei sinto mta colica conta cisto ovario esquerdo,ai pesquis sint mta colic cont cist ovari esquerd,ai pesquisei sinto mta colico conta cisto ovario esquerdo,0
serie vc nao pensaram nisso,seri vc nao pens niss,serie vc nao pensar em isso,1
walter alves tbm q filho garibaldi infelizmente ganhou,walt alves tbm q filh garibald infeliz ganh,Walter Alves Tbm q Filho garibaldi infelizmente ganhar,0
bar dacbbdbacebd,bar dacbbdbacebd,bar dacbbdbacebd,0
acordei tao destruida levei socos cara cheia alergia pescoco causada stress ne elenao,acord tao destru lev soc car che alerg pescoc caus stress ne elena,acordar taoer destruir levei soco Cara cheio alergia pescoco causar stress ne elenaor,0
acabei passar video desgracado batendo cara cabra vi video proposito so coracao doeu gritinho,acab pass vid desgrac bat car cabr vi vid proposit so coraca doeu gritinh,acabar passar video desgracar bater cara cabra ver video proposito so coracao doeu gritinho,0
acredito nao pior chamarem cremilde,acredit nao pior cham cremild,acreditar nao mau chamarem cremilde,1
adivinhem perder iberanime,adivinh perd iberanim,adivinher perder iberanime,1
obg man,obg man,obg man,1
unica queremos elenao serassi,unic quer elena serass,unico queremos elenaor serassi,0
to mesma pipi pra acreditar amigos,to mesm pip pra acredit amig,to mesmo pipi pra acreditar amigo,0
pedi falarem comigo dia hoje,ped fal comig dia hoj,pedir falar comigo dia hoje,1
hahahaha adorei nao sozinho bora entao antinatal inves sorrirem falsamente odeiam simulam xingamentos amam,hahahah ador nao sozinh bor enta antinatal inves sorr fals ode simul xingament amam,hahahaha adorei nao sozinho bora entao antinatal inve sorrir falsamente odeer simular xingamento amar,1
bons sonhos pra insonia terrivel to indo dormir,bons sonh pra inson terrivel to indo dorm,bom sonho pra insonia terrivel to ir dormir,1
semana comecou,seman comec,semana comecar,0
debaterj cara tribos traz cigarrilha ai lula tucano aberto vou dialogar setores sociedade vou morar sao conrado sambar portela vou tomar banho parque madureira andar skate porto maravilha d,debaterj car trib traz cigarrilh ai lul tucan abert vou dialog setor sociedad vou mor sao conr samb portel vou tom banh parqu madureir andar skat port maravilh d,debaterj cara tribo trazer cigarrilha ai lula tucano abrir ir dialogar setor sociedade ir morar sao conrar sambar portela ir tomar banho parque madureiro andar skate Porto maravilhar d,1
choca hoje viu,choc hoj viu,choco hoje ver,0
pessoa visualiza nao responde corto relacoes,pesso visualiz nao respond cort relaco,pessoa visualizar nao responder corto relacoe,1
hoje lavei tenis branco coloquei pra secar varal limpei ate abri janela pra ventilar vim pro trabalhochoveu d,hoj lav ten branc coloqu pra sec varal limp ate abri janel pra ventil vim pro trabalhochov d,hoje Lavei tenis branco coloquei pra secar varal Limpei ateer abri janel pra ventilar vir pro trabalhochover d,1
nao consigo chamar infelizmente fique sabendo q d gosto mt vc jeito show d ahhh amorzinho dia mudar ideia chat ta aberto,nao consig cham infeliz fiqu sab q d gost mt vc jeit show d ahhh amorzinh dia mud ide chat ta abert,nao consigo chamar infelizmente ficar saber q d gosto mt vc jeito show d ahhh amorzinho dia mudar ideia chat ta abrir,1
amo voces,amo voc,amo voce,0
merece alguem vc nao deseja si voce feliz,merec algu vc nao desej si voc feliz,merecer alguir vc nao desejar si voce feliz,1
problem baaaaaaaa,probl baaaaaaa,probler baaaaaaaa,1
agredido reportagens tendenciosas maleficas acesso portal olhar pagina esportiva p,agred reportagens tendenc malef acess portal olhar pagin esport p,agredir reportagem tendencioso malefico acesso portal olhar pagina esportivo p,1
sorte mulher incrivel compartilhando vida comigo descobri continuo achando,sort mulh incrivel compartilh vid comig descobr continu achand,sorte mulher incrivel compartilhar vida comigo descobrir continuar achar,1
ja dormia noite,ja dorm noit,ja dormia noite,1
g g g aq g poloz,g g g aq g poloz,g g g aq g poloz,0
nao rolar exclusividade preguica perco interesse rolar rolou nao rolar to ai q pra pessoa tbm d,nao rol exclus preguic perc inter rol rol nao rol to ai q pra pesso tbm d,nao rolar exclusividade preguico perco interesse rolar rolar nao rolar to ai q pra pessoa tbm d,1
,,,1
sinusite atacando causa ar condicionado faculdade,sinusit atac caus ar condicion faculdad,sinusite atacar causa ar condicionado Faculdade,1
pior dia vida,pior dia vid,mau dia vido,0
triste noticias serao comuns,trist notic sera comuns,tristir noticio serao comum,0
faco dia marco,fac dia marc,faco dia marco,0
conhecem,conhec,conhecer,1
dia pesadao nao pensar aniversario maedrinha nao merece bad vibes festa hoje ta foda,dia pesada nao pens aniversari maedrinh nao merec bad vib fest hoj ta fod,dia pesadao nao pensar aniversario maedrinha nao merecer bad vibe festa hoje ta foda,0
votei ti tambem parabens nao decepcionar,vot ti tamb parabens nao decepcion,votar ti tambem parabem nao decepcionar,1
menino vi vida,menin vi vid,menino ver vida,0
donghyuck postar selca pra deixar feliz ne,donghyuck post selc pra deix feliz ne,donghyuckr postar selco pra deixar feliz ne,0
escrevi contraargumento ouve la respeito es burro comes merda voces sabem razao so diversao ja li bastantes ate defeito formacao lembremse capital nao conta,escrev contraargument ouv la respeit es burr com merd voc sab raza so diversa ja li bastant ate defeit formaca lembrems capital nao cont,escrevi contraargumento ouve la respeito es burro Comes merdar voce saber razao so diversao ja li bastante ate defeito formacao lembremse capital nao contar,1
eh emilly lary nao xinga jhdjdjkg simmm pqp manezinhas bebadas diria,eh emilly lary nao xing jhdjdjkg simmm pqp manezinh beb dir,eh emilly lary nao xinga Jhdjdjkg simmm pqp manezinha bebado dirio,0
amiga nao consigo real,amig nao consig real,amigo nao consigo Real,0
hahaha inevitavel twitter juntou gostam falar assunto confortavel conversa flui pra completar esquerda desculpinha ligia faco palavras tambem forte,hahah inevitavel twitt junt gost fal assunt confortavel convers flu pra complet esquerd desculpinh lig fac palavr tamb fort,hahaha inevitavel twitter juntar gostar falar assunto confortavel conversa fluir pra completar esquerdo desculpinho ligio faco palavra tambem forte,1
hj vou medico vou postar lista inktober dps desenho d,hj vou medic vou post list inktob dps desenh d,hj ir medico ir postar lista inktober dps desenho d,1
botinha zoando pq jogo dragon city,botinh zoand pq jog dragon city,boter zoar pq jogo dragon city,0
esquecam ha gajo esa real tuxo linda nome,esquec ha gaj esa real tux lind nom,esquecar ha Gajo esa real tuxo lindar nome,0
infelizmente pessoas julgam aparencia nao vou fiz tento evitar maximo habito ruim,infeliz pesso julg aparenc nao vou fiz tent evit maxim habit ruim,infelizmente pessoa julgar aparencia nao ir fiz tento evitar maximo habito ruim,0
carissimas carissimos comecou prevenda livro lendas yearbook chiaroscuro personagens folclore traco quadrinistas chiaroscuro incluindo fala olhada site campanha acho vao gostar,carissim cariss comec prevend livr lend yearbook chiaroscur personagens folclor trac quadrin chiaroscur inclu fal olhad sit campanh acho vao gost,carissima carissir comecar prevendar livro lenr yearbook chiaroscuro personagem folclore traco quadrinista chiaroscuro incluir falar olhar site campanha achar vao gostar,1
to triste pq vou voltar cabelo total castanho messes to,to trist pq vou volt cabel total castanh mess to,to tristir pq ir voltar cabelo total castanho messes to,0
fico feliz nocao imagino importante pra ti,fic feliz noca imagin import pra ti,fico feliz nocao imaginar importante pra ti,1
nao vou falar so vou block,nao vou fal so vou block,nao ir falar so vou block,1
ai brasil brasil rio caetano veloso sandalias prata ary via,ai brasil brasil rio caetan velos sandal prat ary via,ai Brasil Brasil Rio caetano veloso sandalia pratar ary ver,1
,,,0
,,,0
foo acdfaaeda,foo acdfaaed,foo acdfaaedar,1
acredito semana universitaria acabou nao fiz metade queria descansar,acredit seman universit acab nao fiz metad quer descans,acreditar semana universitario acabar nao fiz metade querer descansar,0
to tao p precisava so cvs nenem,to tao p precis so cvs nen,to tao p precisar so cvs nenem,0
antiz di errete curti tuiti noiz,antiz di erret curt tuit noiz,antizr di errete curti tuiti noiz,1
oi outubro oi ferias oi rio janeiro,oi outubr oi fer oi rio janeir,oi outubro oi feria oi rio Janeiro,1
achei maravilhoso anne acho q vou q acabar comprando dessas fantasias genericas desculpa q ajudou,ache maravilh anne acho q vou q acab compr dess fantas gener desculp q ajud,achar maravilhoso anne achar q ir q acabar comprar de esse fantasia generico desculpa q ajudar,1
fica moedas,fic moed,ficar moeda,0
tao sedentaria msm amando corpo aprendi aceitar amar jeitinho q to mt feliz realizada,tao sedent msm amand corp aprend aceit amar jeitinh q to mt feliz realiz,taoer sedentar msm amar corpo aprender aceitar amar jeitinho q to mt feliz realizar,1
ai tambem queria entender so incontrolavel kkkk,ai tamb quer entend so incontrolavel kkkk,ai tambem querer entender so incontrolavel kkkk,0
dia incrivel ajudei muitas pessoas hoje recebi elogios mulheres poderosas p fechar chave ouro vou tiaaa amiga ta gravida,dia incrivel ajud muit pesso hoj receb elogi mulh poder p fech chav our vou tiaa amig ta grav,dia incrivel ajudar muito pessoa hoje recebir elogio mulher poderoso p fechar chave ouro ir tiaaar amigo ta gravido,1
les serie mistura riverdale gossip girl obvio ia merda,les seri mistur riverdal gossip girl obvi ia merd,les serie mistura riverdaler Gossip girl obvio ir merdar,1
contar segredo promete nao compartilhar abre site corretora h kakaka funciona xp ta aberto operando boas,cont segred promet nao compartilh abre sit corretor h kakak funcion xp ta abert oper boas,contar segredo prometer nao compartilhar abrir site corretoro h kakaka funcionar xp ta abrir operar boa,1
amiga pessoal classe media estao literalmente cagando pt vcs so ligam pra medo reallt pq sp populoso br ctz ganhar,amig pessoal class med esta literal cag pt vcs so lig pra med reallt pq sp popul br ctz ganh,amiga pessoal classe media estao literalmente cagar pt vcs so ligam pra medo reallt pq sp populoso br ctz ganhar,0
ok vou espera,ok vou esper,ok ir esperar,1
acho importante conversa nao p pessoa poderia mandado mandaria amorzinho,acho import convers nao p pesso pod mand mand amorzinh,achar importante conversa nao p pessoa poder mandar mandaria amorzinho,1
meninas q sol dia,menin q sol dia,menina q sol dia,1
votei bolsonaro,vot bolsonar,votar bolsonaro,1
n pra escola,n pra escol,n pra escola,0
vao decidir voce escolher,vao decid voc escolh,vao decidir voce escolher,1
acabou,acab,acabar,0
comecou d ta ar colecao imperdivel camisas r frete gratis compra r confira colecao completa,comec d ta ar coleca imperdivel camis r fret grat compr r conf coleca complet,comecar d ta ar colecao imperdivel camiso r Frete Gratis comprar r Confira colecao completo,1
trechos musicas frases simone simaria,trech music fras simon sim,trecho musico frases simone simario,1
alguem leva cinema mo tempao nao vou,algu lev cinem mo tempa nao vou,alguir levar cinema elmo tempao nao ir,0
comecou mes lindo ano,comec mes lind ano,comecar mes lir ano,1
vou passar remedio larry denovo chorar,vou pass remedi larry denov chor,ir passar remedio larryr denovo chorar,0
ah queria conversar vc comento twittes nao aparece pra vc ah pq sera bebe,ah quer convers vc coment twitt nao aparec pra vc ah pq ser beb,ah querer conversar vc comento twitte nao aparecer pra vc ah pq sera bebe,0
amo,amo,amo,0
so combinar kkk,so combin kkk,so combinar kkk,1
,,,0
ja gente comprei veneno rato vamo tomar geladinho vodca brinks comprei chocolate granulado formato micanga servir show d,ja gent compr venen rat vam tom geladinh vodc brinks compr chocolat granul format micang serv show d,ja gente compr Veneno rato vamo tomar geladinho Vodca brink compr chocolate granular formato micanga servir show d,1
espero nao pare gravar videos importante pra acompanha,esper nao par grav vid import pra acompanh,esperar nao parar gravar video importante pra acompanhar,0
porra mataram bene esquecido,porr mat ben esquec,porra matar bene esquecir,0
so voce fica melhor,so voc fic melhor,so voce ficar bom,1
parabens maquina injeccao raca balneario vinha calhar jogo porto memorias encostonosecretarioepico,parabens maquin injecca rac balneari vinh calh jog port memor encostonosecretarioep,parabem maquina injeccao racar balneario vir calhar jogo Porto memoria encostonosecretarioepico,1
chegar casa,cheg cas,chegar casa,0
cansada,cans,cansada,0
fascismo estuda d,fascism estud d,fascismo estudar d,1
nao tomara jeje cure pq vitoria carlos nao existe,nao tom jej cur pq vitor carl nao exist,nao tomar Jeje curar pq vitoria Carlos nao existir,0
valeu,val,valer,1
,,,1
so queria foto pq to quase morrendo saudade justin,so quer fot pq to quas morr saudad justin,so querer foto pq to quase morrer saudade Justin,0
queria so lokin mim seguisse sapoha p,quer so lokin mim segu sapoh p,querer so lokin eu seguir sapoha p,1
ate gabriel jesus ah nao,ate gabriel jesus ah nao,ate Gabriel jesus ah nao,0
so queria ta bebendo cerveja agr comemorando vitoria turno n cerveja ciro presidente,so quer ta beb cervej agr comemor vitor turn n cervej cir president,so querer ta beber cervejer agr comemorar vitor turno n cerveja ciro presidente,0
fico envergonhada,fic envergonh,fico envergonhar,0
bar fbdeaeefeee,bar fbdeaeefee,bar fbdeaeefeee,0
espero ate hoje kkkk,esper ate hoj kkkk,esperar ate hoje kkkk,0
acaba pote voce merece,acab pot voc merec,acabar pote voce merecer,1
imagina mariana pensamento q vc nao criando relacao,imagin marian pensament q vc nao cri relaca,imaginar mariano pensamento q vc nao criar relacao,1
lamentavel pessoas nivel alienacao paga militante democracia so propria opiniao vale democracia,lamentavel pesso nivel alienaca pag milit democrac so propr opinia val democrac,lamentavel pessoa nivel alienacao pagar militante democracia so propria opiniao valer democracia,1
so testez pe mama cat tech savy,so testez pe mam cat tech savy,so testez pe mama cat tech savy,1
to tp meia hora tentando macarrao negocio ta cru dai acendi boca nao q tava panela cm macarrao,to tp mei hor tent macarra negoci ta cru dai acend boc nao q tav panel cm macarra,to tp meia hora tentar macarrao negocio ta cru dai acendi boca nao q tar panela cm Macarrao,1
noite,noit,noite,1
amanha feira profissoes escolhi tres pessoas so ta ajudando,amanh feir profisso escolh tres pesso so ta ajud,amanho feira profissoes escolher tr pessoa so ta ajudar,1
vale pra k laysa fala cmg q to mt triste,val pra k lays fal cmg q to mt trist,valer pra k laysa falar cmg q to mt tristir,0
dia estarei semi morta pos voto,dia estar sem mort pos vot,dia estarei semi morta po votar,0
mes vao,mes vao,mes vao,0
ai renato russo nao cantor vi livro,ai renat russ nao cantor vi livr,ai Renato russo nao cantor ver livro,0
segui,segu,seguir,1
to atrasada motorista nao quis abrir pra mim,to atras motor nao quis abrir pra mim,to atrasar motorista nao querer abrir pra eu,0
yas huhu sobra naaa,yas huhu sobr naa,yas huhu sobrar naao,0
q amorzinho,q amorzinh,q amorzinho,0
pinta,pint,pintar,0
ah ook amore,ah ook amor,ah ook amore,1
kkkkkk parabens orgulho pessoas votaram ciro sabendo nao ia turno valeu garerinha,kkkkkk parabens orgulh pesso vot cir sab nao ia turn val garerinh,kkkkkkr parabem orgulhar pessoa votar ciro saber nao ir turno valeu garerinha,1
,,,0
gente lt fiquei feliz,gent lt fiqu feliz,gente lt fiquei feliz,1
hoje manha fiquei bue triste andei procura roupa rosa cheguei conclusao nao,hoj manh fiqu bue trist ande procur roup ros chegu conclusa nao,hoje mar fiquei bue triste andeer procurar roupa roso cheguei conclusao nao,1
coracao ta fechado entao tomara perdido chave porem,coraca ta fech enta tom perd chav por,coracao ta fechar entao tomaro perder chave por,0
ando levar la empresa ciclos partilha falarem,ando lev la empres cicl partilh fal,ar levar la empresa Ciclos partilha falar,1
odeio vida migos saindo fedendo bacon,odei vid mig saind fed bacon,odeio vida migo sair feder bacon,1
foo edecbabcaaeb,foo edecbabcaaeb,foo edecbabcaaebr,1
unica reacao possivel bb choremos,unic reaca possivel bb chor,unico reacao possivel bb choremos,0
outro bozo,outr boz,outro bozo,1
maycon grude filho mt amorrrr noite,maycon grud filh mt amorrrr noit,maycon grude filho mt amorrrr noite,1
tristeza,tristez,tristeza,0
nao c ruim,nao c ruim,nao c ruim,0
queria manter positivo resultado hoje so espero pior,quer mant posit result hoj so esper pior,querer manter positivo resultar hoje so esperar mau,0
amiga venezuela ta bacana pra viver voce nao problema comer comer carne cachorrinhos ta massa,amig venezuel ta bacan pra viv voc nao problem com com carn cachorrinh ta mass,amig venezuela ta bacano pra viver voce nao problema comer comer carne cachorrinho ta massa,1
fico triste pensando pq haddad super capacitado votar nele dia dia nao poste lula,fic trist pens pq haddad sup capacit vot nel dia dia nao post lul,fico tristir pensar pq haddad super capacitar votar em ele dia dia nao postar lula,0
diaaa,diaa,diaaa,1
