clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
pedo folia eu fui,ped fol eu fui,pedo foliar eu ser,0
olha bruno mesmo sem jogar mostrando melhor goleiro pegar penalidades maximas,olha brun mesm sem jog mostr melhor goleir peg penal maxim,olhar bruno mesmo sem jogar mostrar bom goleiro pegar penalidade maximo,0
duvida quem tem preguica vai pro inferno eles buscam casa,duv quem tem preguic vai pro infern eles busc cas,duvidar quem ter preguica ir pro inferno eles buscar casa,0
pegar taxi depois tempo silencio dizer taxista aqui nesse cruzamento eu morri atropelado,peg tax depo temp silenci diz taxist aqu ness cruzament eu morr atropel,pegar taxi depois tempo silencio dizer taxista aqui em esse cruzamento eu Morri atropelar,0
quem adobe hitler kkkkkkkkk,quem adob hitl kkkkkkkkk,quem adobe Hitler kkkkkkkkk,0
assaltaram mercadinho encontre culpado,assalt mercadinh encontr culp,assaltar mercadinho encontre culpar,0
mae me biscoito pegue voce mesmo filho mas eu nao tenho bracos sem bracos sem biscoito,mae me biscoit peg voc mesm filh mas eu nao tenh brac sem brac sem biscoit,mae eu biscoito pegar voce mesmo filho mas eu nao ter braco sem braco sem biscoito,1
separados reais,separ rea,separar real,0
hitler campo concentracao ve crianca toda feliz pq tao feliz amanha faco anos ehehe nao faz nao,hitl camp concentraca ve crianc tod feliz pq tao feliz amanh fac anos eheh nao faz nao,Hitler Campo Concentracao ve crianca todo feliz pq tao feliz amanha faco ano ehehe nao fazer nao,0
eu fosse eliminado bbb antes sair eu fazia coco meio sala,eu foss elimin bbb antes sair eu faz coc mei sal,eu ser eliminar bbb antes sair eu fazer coco meio sala,0
pior ades so aids,pior ades so aids,mau ade so aids,0
nao gostaria entrar tomar copo ades maca,nao gost entrar tom cop ades mac,nao gostar entrar tomar copo ade maca,0
rt mas nao seria muito incomodo,rt mas nao ser muit incomod,rt mas nao ser muito incomodo,0
ades patrocina nova versao branca neve,ades patrocin nov versa branc nev,ade patrocina novo versao branco never,0
seja bem vindo,sej bem vind,ser bem vir,0
acho cara redacao enem deveria perder pontos pq nao ficou claro sabor miojo,acho car redaca enem dev perd pont pq nao fic clar sabor mioj,achar cara redacao enem dever perder ponto pq nao ficar claro sabor miojo,0
mas claro q esquento,mas clar q esquent,mas claro q esquento,0
galera p comemorar dia internacional sindrome down priminho vai mandar recado pra vcs proximo tweet,gal p comemor dia internacional sindrom down priminh vai mand rec pra vcs proxim tweet,galerar p comemorar dia internacional sindrome down priminho ir mandar recar pra vcs proximo tweet,0
cabelo deve pertencido ao cu alguem outra encarnacao,cabel dev pertenc ao cu algu outr encarnaca,cabelo dever pertencido a o cu alguir outro encarnacao,0
galera vamos ajudar leo ta perdido ate hoje ninguem viu ai voltaleo,gal vam ajud leo ta perd ate hoj ningu viu ai voltal,galera ir ajudar leo ta perder ate hoje ninguem ver ai voltaleo,0
bom vou dormir pq ao contrario chorao eu acordo cedo amanha fui,bom vou dorm pq ao contrari chora eu acord ced amanh fui,bom ir dormir pq a o contrario Chorao eu acordo cedo amanho ser,0
eu queria namorar sem teto ai eu perguntaria casa minha ai gente ia rir rir rir beber pinga r,eu quer namor sem tet ai eu pergunt cas minh ai gent ia rir rir rir beb ping r,eu querer namorar sem teto ai eu perguntar casa meu ai gente ir rir rir rir beber pinga r,1
eu devo jogado angry birds cruz pra merecer isso,eu dev jog angry birds cruz pra merec isso,eu dever jogar angry Birds Cruz pra merecer isso,0
deu mesma coisa abre outra aba busca faco busca mas n vejo nenhum preco promocao,deu mesm cois abre outr aba busc fac busc mas n vej nenhum prec promoca,dar mesmo coisa abrir outro aba busco faco busco mas n vejo nenhum preco promocao,0
ainda eu falasse lingua homens anjos usaria ambas pra denegrir imagem,aind eu fal lingu homens anjos usar ambas pra denegr imag,ainda eu falar lingua homem anjo usar ambos pra denegrir imagem,0
espero fim vida tenha brindes pra quem nao matou,esper fim vid tenh brind pra quem nao mat,esperar fim vida ter brinde pra quem nao matar,0
oi lembra mim eu nao lembro nem eu comi ontem rsrs voce me comeu ontem,oi lembr mim eu nao lembr nem eu com ontem rsrs voc me com ontem,oi lembrar eu eu nao lembro nem eu comi ontem rsrs voce eu comeu ontem,0
bom achar dinheiro bolso otros,bom achar dinheir bols otros,bom achar dinheiro bolso otro,0
ja pensou bial falasse vem cu aqui fora nasser finalbbb,ja pens bial fal vem cu aqu for nass finalbbb,je a pensar bial falar vir cu aqui fora nasser finalbbb,0
novos djs area galere finalbbb,nov djs are galer finalbbb,novo djs area galerir finalbbb,0
so vagaba twitter essa hora,so vagab twitt essa hor,so vagaba twitter esse hora,0
sorte hoje vc nao joelma,sort hoj vc nao joelm,sorte hoje vc nao Joelma,0
esse galo ta tocando terror independencia caiunohortotamorto joga infeliciano malacheia la dentro quem sabe n morre tb,esse gal ta toc terror independenc caiunohortotamort jog infelician malach la dentr quem sab n morr tb,esse galo ta tocar terror independencia caiunohortotamorto jogar infeliciano malacheia la dentro quem saber n morre tb,0
eis aqui pessoa mais feia facebook pqp,eis aqu pesso mais fei facebook pqp,eis aqui pessoa mais feio facebook pqp,0
sacanagem chegar orfanato cantando uuhh papai chegou uuhh uuhh papai chegou,sacanag cheg orfanat cant uuhh papa cheg uuhh uuhh papa cheg,sacanagem chegar orfanato cantar uuhh papai chegar uuhh uuhh papai chegar,0
maioria pessoas so estao vivas ilegal atirar nelas,maior pesso so esta viv ilegal atir nel,maioria pessoa so estao viva ilegal atirar em ele,0
status desesperado tentando achar ingresso rock in rio absurdo n cota p negros,status desesper tent achar ingress rock in rio absurd n cot p negr,status desesperar tentar achar ingresso rock in rio absurdo n cota p negro,0
achei essa pagina,ache essa pagin,achar esse pagina,0
troco tomates ingresso rock in rio,troc tomat ingress rock in rio,troco tomate ingresso Rock in Rio,0
nao deu,nao deu,nao dar,0
sera povo servico vai notar eu levar colchao amanha,ser pov servic vai not eu lev colcha amanh,serar povo servico ir notar eu levar colchao amanho,0
sapa dessa cidade sou eu,sap dess cidad sou eu,sapa de esse cidade ser eu,1
era obvio estadio palmeiras tambem ia cair,era obvi estadi palmeir tamb ia cair,ser obvio estadio palmeiras tambem ir cair,0
rt chegando boston,rt cheg boston,rt chegar boston,0
lligacao prum gordo ae gordo bora almoca bora deixa eu so termina almoca aqui,lligaca prum gord ae gord bor almoc bor deix eu so termin almoc aqu,lligacao prum gordo ae e Gordo bor almocar bor deixar eu so terminar almocar aqui,1
perguntei surda ela gostava ouvir musica deus sou burro kkkkkkkkkkkkkk qm nao gosta ouvir musica,pergunt surd ela gost ouv music deus sou burr kkkkkkkkkkkkkk qm nao gost ouv music,perguntei surda ela gostar ouvir musica Deus ser burro kkkkkkkkkkkkkk qm nao gostar ouvir musica,1
voltei hospital agora fui ver tio ta gay ele ta melhor ja ta pegando peito enfermeira,volt hospital agor fui ver tio ta gay ele ta melhor ja ta peg peit enfermeir,voltar hospital agora ser ver tio ta gay ele ta bom ja ta pegar peito enfermeirar,1
parabens ae gabriel vc merece demais ate chorei aq,parabens ae gabriel vc merec dem ate chor aq,parabem ae Gabriel vc merecer demais ate chorar aq,0
assim vc mata papai mamae titia vovo hotelurbano,assim vc mat papa mama tit vov hotelurban,assim vc matar papai mamae titia vovo hotelurbano,0
dica dia,dic dia,dico dia,0
maior diferenca entre criminosos outras pessoas criminosos sao estupidos suficiente serem pegos,maior diferenc entre crimin outr pesso crimin sao estup suficient ser peg,grande diferenca entre criminoso outro pessoa criminoso sao estupir suficiente ser pego,1
sabe correntes tipoquanto like mais ajudaremos filipinas tufao poise lote likes entregue,sab corrent tipoquant lik mais ajud filipin tufa pois lot lik entreg,saber corrente tipoquanto like mais ajudarer filipinas tufao poiser lote likes entregar,0
so falta roberto carlos morrer agora nao acabar ano gente fica preso,so falt robert carl morr agor nao acab ano gent fic pres,so falta roberto Carlos morrer agora nao acabar ano gente ficar prender,0
mais deprimido grazi massafera assistindo amores roubados,mais deprim graz massaf assist amor roub,mais deprimido grazi massaferar assistir amor roubar,0
afff n te dou mais nada,afff n te dou mais nad,afff n te dou mais nada,0
menina chama rayane quando faz anos automaticamente fica gravida,menin cham rayan quand faz anos automat fic grav,menina chamar rayane quando fazer ano automaticamente ficar gravido,1
passeiii manausss obrigado deus,passeii manausss obrig deus,passeiii manausss obrigar Deus,0
seria pena,ser pen,ser pena,0
fiquei sem internet ontem dia inteiro ate descobri q tem pessoal aqui casa ate sentei eles mesa acho q minha familia,fiqu sem internet ontem dia inteir ate descobr q tem pessoal aqu cas ate sent eles mes acho q minh famil,fiquei sem Internet ontem dia inteiro ate descobrir q ter pessoal aqui casa ate sentar eles mesa achar q meu familia,0
indiretas pra grazi nao param,indiret pra graz nao par,indireta pra grazi nao par,0
vantagem namorar mendiga hora levar embora pra casa vc pode deixala qualquer lugar,vantag namor mendig hor lev embor pra cas vc pod deixal qualqu lug,vantagem namorar mendiga hora levar embora pra casa vc poder deixala qualquer lugar,1
inicio semana fosse bom nao comecava dst,inici seman foss bom nao comec dst,inicio semana ser bom nao comecar dst,0
amo negros sao tao gnt boa pena q pararam vender,amo negr sao tao gnt boa pen q par vend,amo negro sao tao gnt bom pena q parar vender,1
puta saudade postar bagulho machista nessa porra mas agora mulheres aprenderam ler,put saudad post bagulh machist ness porr mas agor mulh aprend ler,putar saudade postar bagulho machista em esse porra mas agora mulher aprender ler,1
orgulho branco,orgulh branc,orgulho branco,1
cota racismo somos todos iguais,cot racism som tod igu,cota racismo ser todo igual,0
hoje dia ate dizer tem orgulho branco racismo aff vcs,hoj dia ate diz tem orgulh branc racism aff vcs,hoje dia ate dizer ter orgulho branco racismo aff vcs,1
eu nao posso chamar ele preto ele me chama branquelo azedo,eu nao poss cham ele pret ele me cham branquel azed,eu nao poder chamar ele preto ele eu chamar branquelo azedo,1
sou branco sofro racismo,sou branc sofr racism,ser branco sofro racismo,0
antigamente ninguem ofendia,antig ningu ofend,antigamente ninguem ofendia,0
nao sou preconceituoso ate tenho empregada negra,nao sou preconceitu ate tenh empreg negr,nao ser preconceituoso ate ter empregada negro,1
agora tudo apropriacao cultural nao pode nem usar turbante mais,agor tud apropriaca cultural nao pod nem usar turbant mais,agora tudo apropriacao cultural nao poder nem usar turbante mais,0
vc negao tirar chapeu,vc nega tir chap,vc negao tirar chapeu,1
minina vc fizesse alisamento ficaria show bola,minin vc fiz alis fic show bol,minina vc fizesse alisamento ficar show bolo,0
racismo olhos quem ve,racism olhos quem ve,racismo olho quem ve,1
voce negra mas ate bonita,voc negr mas ate bonit,voce negro mas ate bonito,1
solucao racismo parar falar sobre ele morgan freeman q disse,soluca racism par fal sobr ele morgan freeman q diss,solucao racismo parar falar sobre ele morgan freeman q dizer,1
so tem globeleza mulata isso sim preconceito branca nao sabe sambar nao isso,so tem globel mulat isso sim preconceit branc nao sab samb nao isso,so ter globeleza mulato isso sim preconceito branco nao saber sambar nao isso,1
ah la filho porteiro passou enem,ah la filh porteir pass enem,ah la filho porteiro passar enem,0
jogaram liquid paper cabelooooooo,jog liquid pap cabeloooooo,jogar liquid paper cabelooooooo,0
existem negros nazistas sim,exist negr nazist sim,existir negro nazista sim,0
assim eu sou racista eu escuto eminem flor,assim eu sou racist eu escut emin flor,assim eu ser racista eu escuto eminem flor,0
rt nao tenho preconceito ate tenho amigas gordas adoro sair elas chamo mais atencao rsrsrsrs,rt nao tenh preconceit ate tenh amig gord ador sair elas cham mais atenca rsrsrsrs,rt nao ter preconceito ate ter amiga gordo adorar sair ele chamar mais atencao rsrsrsrs,1
lendo silvia pliz q mulher,lend silv pliz q mulh,ler Silvia pliz q mulher,0
hoje acordei vontade fazer dreadlock ta moda,hoj acord vontad faz dreadlock ta mod,hoje acordar vontade fazer dreadlock ta modo,0
pm nao racistaja vi policial negro ok,pm nao racistaj vi policial negr ok,pm nao racistaja ver policial negro ok,0
minha tataravo era negra tenho sangue negro,minh tatarav era negr tenh sang negr,meu tataravo ser negro ter sangue negro,0
jesuischarlie esses cartunistas sao herois,jesuischarli esses cartun sao hero,jesuischarlie esse cartunista sao herois,0
esquenta adoro esse programa mto cultural aborda varios problemas tem favela tem pagode amoooo,esquent ador esse program mto cultural abord vari problem tem favel tem pagod amooo,esquentar adorar esse programa mto cultural abordo vario problema ter favor o ter pagode amoooo,0
nada contra negros mas minha filha nao vai trazer bandido pra casa nao,nad contr negr mas minh filh nao vai traz band pra cas nao,nada contra negro mas meu filha nao ir trazer bander pra casa nao,1
domingotenho fazer proprio cafea folgada empregada nao veio vida injusta,domingotenh faz propri caf folg empreg nao vei vid injust,domingotenho fazer proprio cafea folgar empregar nao vir vida injusto,0
fui praia hj voltei neguinha rsrsrs,fui pra hj volt neguinh rsrsrs,ser praia hj voltar neguinha rsrsrs,1
essa gente quer combater racismo mas diz q pessoa branca ela nao pode fazer x coisatipo vestir iemanja,essa gent quer combat racism mas diz q pesso branc ela nao pod faz x coisatip vest iemanj,esse gente querer combater racismo mas dizer q pessoa branco ela nao poder fazer x coisatipo vestir iemanja,1
n sou racista pq racismo crime crime coisa pretokkkkkk,n sou racist pq racism crim crim cois pretokkkkkk,n ser racista pq racismo crime crime coisa pretokkkkkk,1
batom vermelho so bonito gente branca,batom vermelh so bonit gent branc,Batom vermelho so bonito gente branco,1
gente favor preconceito cabeca,gent favor preconceit cabec,gente favor preconceito cabeca,0
vcs nao percebem racismo acabou fim escravidao,vcs nao perceb racism acab fim escravida,vcs nao perceber racismo acabar fim escravidao,1
rt menina voce ta doida apoiar legalizacao aborto,rt menin voc ta doid apoi legalizaca abort,rt menina voce ta doer apoiar legalizacao aborto,0
rt mostrar tetas nao vai acabar machismo,rt mostr tet nao vai acab machism,rt mostrar teta nao ir acabar machismo,1
migo respira deus ta comando,mig resp deus ta com,migo respirar Deus ta comando,0
mas vc nao negra morena,mas vc nao negr moren,mas vc nao negro morena,0
apresenta pra ela miga,apresent pra ela mig,apresentar pra ela migo,0
negros mortos dia brasil brancos nao morrem tambem,negr mort dia brasil branc nao morr tamb,negro morto dia Brasil branco nao morr tambem,1
fui marco hj nossa gente dificil indio brasil viu tem ate q vender pulserinha,fui marc hj noss gent dificil indi brasil viu tem ate q vend pulserinh,ser Marco hj nosso gente dificil indio Brasil ver ter ate q vender pulserinhar,1
cheguei camelo disse indio troca pulserinha espelho kkkkkkkkkkkkkkkkk,chegu camel diss indi troc pulserinh espelh kkkkkkkkkkkkkkkkk,cheguei camelo dizer indio troca Pulserinha espelho kkkkkkkkkkkkkkkkk,0
japones abre teu olho,japon abre teu olho,japones abrir teu olho,1
aecio bolsonaro amooo,aeci bolsonar amoo,aecio Bolsonaro amooo,0
negros nao vao gostar,negr nao vao gost,negro nao vao gostar,1
nada contra negros mas eu prefiro branquelo palmito cor leite pra bejar boca rsrs,nad contr negr mas eu prefir branquel palmit cor leit pra bej boc rsrs,nada contra negro mas eu prefiro branquelo palmito cor Leite pra bejar boca rsrs,1
odeio gente fala so pq iggy eh branca ela n pode cantar rap mano,odei gent fal so pq iggy eh branc ela n pod cant rap man,odeio gente falar so pq iggy eh branca ela n poder cantar rap mano,1
eu to esse print serio gente,eu to esse print seri gent,eu to esse print serio gente,0
pq voce aprendeu gostar branco ve negro naoatraente inconscientemente culpados midia familia brancos geral,pq voc aprend gost branc ve negr naoatraent inconscient culp mid famil branc geral,pq voce aprender gostar branco ve negro naoatraente inconscientemente culpar Midia familia branco geral,1
gosto gosto pessoa obrigada beijar quem nao acha atraente tudo racismo,gost gost pesso obrig beij quem nao acha atraent tud racism,gostar gostar pessoa obrigar beijar quem nao achar atraente tudo racismo,0
miga pare construcao social voce nao enxerga isso alem burra racista,mig par construca social voc nao enxerg isso alem burr racist,miga pare construcao social voce nao enxerga isso aler burra racista,0
voce prefere eu te explique didaticamente te rache,voc prefer eu te expliqu didat te rach,voce preferir eu te explique didaticamente te rache,0
rt olha eu acho q pessoa aceita racismo quem quer pq simplesmente saberia q racista estupido dema,rt olha eu acho q pesso aceit racism quem quer pq simples sab q racist estup dem,elrt olhar eu achar q pessoa aceitar racismo quem querer pq simplesmente saber q racista estuper dema,0
aff so nao tem negro oscar agora eles sao racista pfvr miga melhore,aff so nao tem negr oscar agor eles sao racist pfvr mig melhor,aff so nao ter negro oscar agora ele sao racistar pfvr migo melhore,0
reclama racismomas cota hein miga so privilegios,reclam racismom cot hein mig so privilegi,reclamar racismoma cota hein migar so privilegio,1
nao isso racismo,nao isso racism,nao isso racismo,0
rts eu dou links tweets eu posto eu fico esperando vcs me ajudem ensinar podem passaran,rts eu dou links tweets eu post eu fic esper vcs me ajud ensin pod passaran,rts eu dar link tweets eu poster eu fico esperar vcs eu ajudar ensinar poder passaran,0
vamo negro mas nao vamo abusar ne,vam negr mas nao vam abus ne,vamo negro mas nao vamo abusar ne,1
oi eu pensei nisso mais cedo criei email pode mandar gentebranca,oi eu pens niss mais ced cri email pod mand gentebranc,oi eu pensar em isso mais cedo criei email poder mandar gentebranca,0
aff pq vc pinta cabelotd mundo sabe q vermelho loiro so fica bom tom pele clara,aff pq vc pint cabelotd mund sab q vermelh loir so fic bom tom pel clar,Aff pq vc pinto cabelotd Mundo saber q vermelho loiro so ficar bom tom pele claro,1
rt eu nao sou racista eu ja dei bj num neguinho,rt eu nao sou racist eu ja dei bj num neguinh,rt eu nao ser racista eu ja dar bj em um neguinho,0
tava me inscrevendo sisu nao achei opcao cota branco mec assim n pra te ajudar miga,tav me inscrev sisu nao ache opca cot branc mec assim n pra te ajud mig,tar eu inscrever sisu nao achar opcao coto branco mec assim n pra te ajudar miga,1
nada contra negros mas nada contra usar desodorante tb ne,nad contr negr mas nad contr usar desodor tb ne,nada contra negro mas nada contra usar desodorante tb ne,1
tinha preto nada contra,tinh pret nad contr,ter preto nada contra,1
amiga calma isso critica,amig calm isso critic,amiga calmo isso criticar,0
diz q negra so pra reclamar racismo pfff,diz q negr so pra reclam racism pfff,dizer q negro so pra reclamar racismo pfff,0
eu tiro print pq pegar link perigo apagarem,eu tir print pq peg link perig apag,eu tirar print pq pegar link perigo apagar,0
tinha cota pra inteligentes kkk,tinh cot pra inteligent kkk,ter cota pra inteligente kkk,0
muito branco doendo nao tem capacidade joga culpa cotas,muit branc doend nao tem capac jog culp cot,muito branco doer nao ter capacidade jogar culpa coto,0
nao deveria mas usa,nao dev mas usa,nao dever mas usar,0
quando gente nasce gente igual seja rico seja pobre todo mundo tem chance d crescer vida seja negro seja branco,quand gent nasc gent igual sej ric sej pobr tod mund tem chanc d cresc vid sej negr sej branc,quando gente nascer gente igual ser rico ser pobre todo mundo ter chance d crescer vida ser negro ser branco,0
to cansada vcs discutindo racismo vo dar unfolo,to cans vcs discut racism vo dar unfol,to cansada vcs discutir racismo vo dar unfolo,0
vamo parar falar gente branca quer,vam par fal gent branc quer,vamo parar falar gente branco querer,0
quanto mimimi cota pelo amor brancos melhorem,quant mimim cot pel amor branc melhor,quanto mimimi coto por o amor branco melhor,0
estetica vc quer dizer branco sim,estet vc quer diz branc sim,estetico vc querer dizer branco sim,0
sempre brincadeira modo dizer,sempr brincadeir mod diz,sempre brincadeira modo dizer,0
critica mas amiga ai rachada perfil isso diz racista,critic mas amig ai rach perfil isso diz racist,criticar mas amiga ai rachada perfil isso dizer racista,0
pode me mandar isso favor,pod me mand isso favor,poder eu mandar isso favor,0
criticar gente branca eu posto varios prints racistas denuncia,critic gent branc eu post vari prints racist denunc,criticar gente branco eu posto vario prints racisto denunciar,0
nao eu sou racista mas ele negro,nao eu sou racist mas ele negr,nao eu ser racista mas ele negro,1
tem tanto negro nesse bbb q eles vao usar estalecas pra comprar droga,tem tant negr ness bbb q eles vao usar estalec pra compr drog,ter tanto negro em esse bbb q eles vao usar estaleca pra comprar droga,0
cota negro aumentou nesse bbb ne,cot negr aument ness bbb ne,cota negro aumentar em esse bbb ne,1
aproveitem bbb denunciem,aproveit bbb denunc,aproveitar bbb denunciem,0
vai levar processo,vai lev process,ir levar processo,0
oi desculpa isso eu dou print pra galera denunciar pra expor mesmo babacas eu so quero ajudar verdade,oi desculp isso eu dou print pra gal denunc pra expor mesm babac eu so quer ajud verdad,oi desculpa isso eu dar print pra galera denunciar pra expor mesmo babaca eu so querer ajudar verdade,0
voces podem denunciar aqui gente,voc pod denunc aqu gent,voce poder denunciar aqui gente,0
vamo ver papai acha,vam ver papa acha,vamo ver papai achar,0
eu nao duvido mas nao custa tentar,eu nao duv mas nao cust tent,eu nao duvir mas nao custar tentar,0
eu agradeco,eu agradec,eu agradecoer,0
ele quis dizer negro construiu faculdade,ele quis diz negr constru faculdad,ele querer dizer negro construir Faculdade,1
talvez nao posso acusar sem saber vou aguardar resposta pra ver essa menina aprendeu escrota,talvez nao poss acus sem sab vou aguard respost pra ver essa menin aprend escrot,talvez nao poder acusar sem saber ir aguardar resposta pra ver esse menina aprender escroto,0
crime odio nao me engano,crim odi nao me engan,crime odio nao eu engano,0
ai tem muito preto bbb nem vo assistir kkk,ai tem muit pret bbb nem vo assist kkk,ai ter muito preto bbb nem vo assistir kkk,1
oscar racista tu diz nao ignorar racismo apontado pelos negros so nao tem nao tem that is the point,oscar racist tu diz nao ignor racism apont pel negr so nao tem nao tem that is the point,oscar racista tu dizer nao ignorar racismo apontar por o negro so nao ter nao ter that is The point,0
negros estudem eu estudei,negr estud eu estud,negro estuder eu estudeer,1
viu gente claro q existe racismo contra branco,viu gent clar q exist racism contr branc,ver gente claro q existir racismo contra branco,0
racismo so vai acabar quando deixar existir homem branco homem negro passar existir apenas homem,racism so vai acab quand deix exist hom branc hom negr pass exist apen hom,racismo so ir acabar quando deixar existir homem branco homem negro passar existir apenas homem,0
algumas pessoas acham racismo so agressao isso nao consideram racistas,algum pesso acham racism so agressa isso nao consid racist,algum pessoa achar racismo so agressao isso nao considerar racista,0
adreanu negro,adreanu negr,Adreanu negro,1
ela ta te zoando ela nao liga acho bom denunciar mas ninguem sabe direito quem ela,ela ta te zoand ela nao lig acho bom denunc mas ningu sab direit quem ela,ele ta te zoar ela nao Liga achar bom denunciar mas ninguem saber direito quem ela,0
fico feliz sim ela tem anos mora santos fiquei tarde toda prourando algo mais mas ela quase nao existe,fic feliz sim ela tem anos mor sant fiqu tard tod prour algo mais mas ela quas nao exist,fico feliz sim ela ter ano morar santo fiquei tarde todo prourar algo mais mas ela quase nao existir,0
nao adianta ela nao mostra cara maximo vai acontecer perfil apagado,nao adiant ela nao mostr car maxim vai acontec perfil apag,nao adiantar ela nao mostrar cara maximo ir acontecer perfil apagar,0
perfil dela nao tem entende,perfil del nao tem entend,perfil de ela nao ter entender,0
so tenho primeiro julia mora santos anos fa d dificil,so tenh primeir jul mor sant anos fa d dificil,so ter primeiro julia morar santo ano fa d dificil,0
favor tem mais foto dela aqui,favor tem mais fot del aqu,favor ter mais foto de ela aqui,0
rindo proprio racismo essa d,rind propri racism essa d,rir proprio racismo esse d,0
nossa miga ce acha mesmo vida negro mais facil tu nao sabe preconceito,noss mig ce acha mesm vid negr mais facil tu nao sab preconceit,nosso miga ce achar mesmo vida negro mais facil tu nao saber preconceito,0
branca privilegiada nao conseguiu passar engenharia mas papai vai pagar,branc privilegi nao consegu pass engenh mas papa vai pag,branco privilegiar nao conseguir passar engenharia mas papai ir pagar,0
branca privilegiada vai trabalhar quiser pois cor pele nao vai impedila conseguir bom job,branc privilegi vai trabalh quis pois cor pel nao vai impedil consegu bom job,branco privilegiar ir trabalhar quiser pois cor pele nao ir impedila conseguir bom job,0
mundo bem real ja parece conto fadas ja vida negro bem mais facil,mund bem real ja parec cont fad ja vid negr bem mais facil,mundo bem real ja parecer conto far ja vida negro bem mais facil,1
poxa ce ta medo ficar enrugada ta medo filho empregada entre tua sala facul,pox ce ta med fic enrug ta med filh empreg entre tua sal facul,poxar ce ta medo ficar enrugar ta medo filho empregar entre tua sala facul,0
vamo parar reclamar cota estudar mais,vam par reclam cot estud mais,vamo parar reclamar cota estudar mais,0
entao diabos essa branquela ta reclamando,enta diab essa branquel ta reclam,entao diabo esse branquela ta reclamar,0
pode crer num deslize qualquer gente arranja,pod crer num desliz qualqu gent arranj,poder crer em um deslize qualquer gente arranja,0
so matando miga,so mat mig,so matando miga,0
pode mandar eu curto rir branco,pod mand eu curt rir branc,poder mandar eu curter rir branco,0
quem falou processo amigo fia,quem fal process amig fia,quem falar processo amigo fia,0
mas eu comecei falar processo alem racista agora ces sao cego,mas eu comec fal process alem racist agor ces sao ceg,mas eu começar falar processo aler racista agora ces sao cego,0
vc concorda ela vc reproduz racismo mas nao to aqui pra silenciar negro ce acha quiser,vc concord ela vc reproduz racism mas nao to aqu pra silenc negr ce acha quis,vc concordar ela vc reproduz racismo mas nao to aqui pra silenciar negro ce achar querer,0
nao to fim explicar racismo inverso nao existe aprende sozinha branquela,nao to fim explic racism invers nao exist aprend sozinh branquel,nao to fim explicar racismo inverso nao existir aprender sozinha branquelo,0
racismo inverso mimimi branco deus palavra existe mas deus nao existe miga,racism invers mimim branc deus palavr exist mas deus nao exist mig,racismo inverso mimimi branco Deus palavra existir mas deus nao existir miga,1
racismo inverso existe sim veja sintaxe palavra,racism invers exist sim vej sintax palavr,racismo inverso existir sim ver sintaxe palavro,1
vc acha racismo culpa negros agora,vc acha racism culp negr agor,vc achar racismo culpa negro agora,1
pois to muito ocupada denunciando racista q acha vida facil,pois to muit ocup denunc racist q acha vid facil,pois to muito ocupar denunciar racista q achar vida facil,0
amo esse texto,amo esse text,amar esse texto,0
sai ow nao sou tuas nega,sai ow nao sou tuas neg,sair ow nao ser tuas negar,1
tipo,tip,tipo,0
samba cultura negra independente negro nao saiba sambar brancos podem sambar mas nao podem representar samba,samb cultur negr independent negr nao saib samb branc pod samb mas nao pod represent samb,samba cultura negro independente negro nao saber sambar branco poder sambar mas nao poder representar samba,1
sao ironicos voce concorda algum reveja conceitos,sao iron voc concord algum revej conceit,sao ironico voce concordar algum rever conceito,0
iggy mto melhor q nicki minaj pfvrr,iggy mto melhor q nick minaj pfvrr,iggy mto melhor q nicki minaj pfvrr,0
rt eu toda vez vejo alguem falando racismo inverso existe,rt eu tod vez vej algu fal racism invers exist,rt eu toda vez vejo alguir falar racismo inverso existir,1
acho tatuagem colorida so fica bonito gente muito branca,acho tatuag color so fic bonit gent muit branc,achar tatuagem colorir so ficar bonito gente muito branco,0
negros bem,negr bem,negro bem,0
vou sugerir pra,vou suger pra,ir sugerir pra,0
negras queimem sutias voces estao apropriando cultura branca norteamericana,negr queim sut voc esta apropri cultur branc norteamerican,negro queimem sutia voce estao apropriar cultura branco norteamericano,1
questao gosto,questa gost,questao gostar,0
vc me segue,vc me seg,vc eu seguir,0
vcs tao certo,vcs tao cert,vcs tao certo,0
tudo eu posto racismo,tud eu post racism,tudo eu postar racismo,0
vc tem orgulho branco chapa,vc tem orgulh branc chap,vc ter orgulho branco chapar,0
toma esse block maroto aqui lugar pra te zoar nao te endossar,tom esse block marot aqu lug pra te zoar nao te endoss,tomar esse block maroto aqui lugar pra te zoar nao te endossar,0
perfil dele ainda contem machismo,perfil del aind cont machism,perfil de ele ainda contem machismo,0
me pergunto faziam pra passar vergonha antes internet,me pergunt faz pra pass vergonh antes internet,eu perguntar fazer pra passar vergonha antes Internet,0
negras nao pode pintar cabelo apropriacao k,negr nao pod pint cabel apropriaca k,negra nao poder pintar cabelo apropriacaor k,1
negro nao ta nem ai pode usar quiser,negr nao ta nem ai pod usar quis,negro nao ta nem ai poder usar quiser,0
vcs jogarem user dela palavra negro vao ver so fala bosta,vcs jog user del palavr negr vao ver so fal bost,vcs jogar user de ele palavra negro vao ver so falar bosto,0
vcs ofendem tudo nao sabe brincar devolve barbie,vcs ofend tud nao sab brinc devolv barbi,vcsr ofendir tudo nao saber brincar devolver barbie,0
