clean_text,stemmed_text_complete,lemmatized_text_complete,is_hate_speech
janpopular alvalade ana garcia martins convidadossurpresa bilhetes porta,janpopul alvalad ana garc martins convidadossurpres bilhet port,janpopular Alvalade ano Garcia Martins convidadossurprês Bilhetes porta,0
duvida agarraamusica sic desafio tvi balde acido retina,duv agarraamus sic desafi tvi bald acid retin,duvidar agarraamusico sic desafio tvi Balde acir retina,0
mail reservas reservasparc,mail reserv reservasparc,Mail reserva reservasparc,0
entao fodase,enta fodas,entao fodase,0
vamos overdose tourette data fechada aviso,vam overdos tourett dat fech avis,ir overdose tourette datar fechar aviso,0
pnr congratulase reducao tsu nao colocamos interesses partido frente interesses nacionais,pnr congratulas reduca tsu nao coloc inter part frent inter nacion,pnr congratulase reducao tsu nao coloca interesse partir frente interesse nacional,0
simbolo fome,simbol fom,simbolo fomer,0
amarelos gordos trans discriminacao vamos colocar la,amarel gord trans discriminaca vam coloc la,amarelo gordo trans discriminacao ir colocar la,0
estranho caso tsu portugal renovarportugal pnr,estranh cas tsu portugal renovarportugal pnr,estranho caso tsu Portugal renovarportugal pnr,0
agenda proximos tempos bilhetes fnac ticketline,agend prox temp bilhet fnac ticketlin,agendar proxi tempo bilhete fnac ticketline,0
nao conheco absolutamente ninguem pro chamada invadindo,nao conhec absolut ningu pro cham invad,nao conheco absolutamente ninguem pro chamar invadir,0
fechado aviso,fech avis,fechar aviso,0
rt esquerda comando maiores paises mundo decada problema so apareceu,rt esquerd com maior pais mund dec problem so aparec,rt esquerdo comando grande paises mundo decar problema so aparecer,0
pra crimes nao violentos deveria vaga spa,pra crim nao violent dev vag spa,pra crime nao violento dever vago spa,0
rt voces praticam censura pnr boicotamnos respondem sorrindo evasivo olhe nao s,rt voc pratic censur pnr boicotamn respond sorr evas olhe nao s,rt voce praticar censura pnr boicotamno responder sorrir evasivo olhe nao s,0
rt nao sentido portugal acolher imigrantes populacao encontra desempregada emigrar,rt nao sent portugal acolh imigr populaca encontr desempreg emigr,rt nao sentido Portugal acolher imigrante Populacao encontro desempregar emigrar,1
reclama superlotacao presidios vao construir reclama tb ah va,reclam superlotaca presidi vao constru reclam tb ah va,reclamar superlotacao presidio vao construir reclamar tb ah va,0
rt traficantes estupradores matando cadeia gente honesta vitimas,rt trafic estupr mat cad gent honest vitim,rt traficante estuprador matar cadeia gente honesto vitima,0
imigrante islamico ataca mulher suecia frente filho dose cultural esquerda,imigr islam atac mulh suec frent filh dos cultural esquerd,imigrante islamico atacar mulher suecia frente filho dose cultural esquerdo,0
abraco tambem conta,abrac tamb cont,abraco tambem contar,0
guilherme boulos preso aprendeu achou chefe lula estaria acima leis ferrou senta chora,guilherm boul pres aprend achou chef lul estar acim leis ferr sent chor,guilherme boulo prender aprender achar chefe Lula estar acima lei ferrar senta chorar,0
periodo assassinados cidadaos brasileiros comuns voces vao falar alguma tambem,period assassin cidada brasileir comuns voc vao fal algum tamb,periodo assassinar cidadao brasileiro comum voce ve ao falar algum tambem,0
nao ja dei,nao ja dei,nao ja dar,0
ja fidel raul castro mandarem pra prisao ta ne,ja fidel raul castr mand pra prisa ta ne,ja fidel raul castro mandar pra prisao ta ne,0
pesquisa aprovacao cara sequer tomado posse ahahahahahaha apela ai pessoal,pesquis aprovaca car sequ tom poss ahahahahahah apel ai pessoal,pesquisa aprovacao carar sequer tomar posse ahahahahahaho apelar ai pessoal,0
acabamos adicionar data tour overdose tourette fev covilha bilhetes,acab adicion dat tour overdos tourett fev covilh bilhet,acabamos adicionar data tour overdose tourette fev covilha bilhete,0
bilhetes disponiveis,bilhet disponiv,bilhete disponivel,0
congratulome reducao tsu nao gosto toma medidas concordo manifesto agrado,congratulom reduca tsu nao gost tom med concord manifest agrad,congratulome reducao tsu nao gosto tomar medida concordo manifestar agrar,0
portugal seguro,portugal segur,Portugal seguro,0
sucesso postagens inspiradoras nivel imprensa brasileira,sucess postagens inspir nivel imprens brasileir,sucesso postagem inspiradoro nivel imprensa brasileiro,0
raul jose ate cagar pedir autorizacao jorge jesus libertemorauljose,raul jos ate cag ped autorizaca jorg jesus libertemorauljos,raul jose ate cagar pedir autorizacao Jorge jesus libertemorauljose,0
democraticos hein deveriam mudar nome partido dictatorcrats,democrat hein dev mud nom part dictatorcrats,democratico hein dever mudar nome partido dictatorcrat,0
scp competicoes europeias check taca liga check taca portugal check poupar jogadores liga,scp competico europ check tac lig check tac portugal check poup jogador lig,scp Competicoes europeu check taco Liga check taco Portugal check poupar jogador ligar,0
jorge jesus acusou regresso kelvin porto,jorg jesus acus regress kelvin port,Jorge jesus acusar regresso kelvin Porto,0
imprensa brasileira deu mesma enfase caso presidios nao pera,imprens brasileir deu mesm enfas cas presidi nao per,imprensa brasileiro dar mesmo enfase caso presidio nao perar,0
chega pra mina fala caso pai dono bordel naopq pq vc puta,cheg pra min fal cas pai don bordel naopq pq vc put,chegar pra mina falar caso pai dono bordel em aopq pq vc putar,1
pq n manda refugiados pro inferno mandar pra europasao muculmano,pq n mand refugi pro infern mand pra europasa muculman,pq n manda refugiado pro inferno mandar pra europasao muculmano,1
vc ai islam vc morrer carnaval,vc ai islam vc morr carnaval,vc ai islam vc morrer Carnaval,0
praga valendo,prag val,pragar valer,0
igreja catolica promover cruzada ne,igrej catol promov cruz ne,igreja catolico promover cruzado ne,0
ia proteger ocidente islam,ia proteg ocident islam,ir proteger ocidente islar,0
prazer matar muculmano,praz mat muculman,prazer matar muculmano,1
refugiado estao morrendo frio grecia bompelo pau congelado n conseguem estuprar europeia,refugi esta morr fri grec bompel pau congel n consegu estupr europ,refugiar estao morrer frio grecia bompelo pau congelar n conseguir estuprar europeu,1
dia muculmanos morrercerteza inferno sobrecarregar,dia muculman morrercert infern sobrecarreg,dia muculmano morrercerteza inferno sobrecarregar,1
hj to putasso,hj to putass,hj to putasso,0
pt vermelho pq vermelho representa comunismo representa inferno,pt vermelh pq vermelh represent comun represent infern,pt vermelho pq vermelho representar comunismo representar inferno,0
chega pra mina fala caso pai capeta nao pq pq vc visao inferno,cheg pra min fal cas pai capet nao pq pq vc visa infern,chegar pra mina falar caso pai capeta nao pq pq vc visaoer inferno,1
ha censura pnr dano eleitoral atraso crescimento luta elementar justica nao,ha censur pnr dan eleitoral atras cresciment lut element justic nao,ha censura pnr dano eleitoral atraso crescimento lutar elementar justico nao,0
esquerda gosta viver sujeira gosta feio idolatra burrice pichacao nao arte vagabundo,esquerd gost viv sujeir gost fei idolatr burric pichaca nao arte vagabund,esquerda gostar viver sujeiro gostar feio idolatra burrice pichacao nao arte vagabur,1
adivinha esquerda demoniza esquerda,adivinh esquerd demoniz esquerd,adivinhar esquerda demonizar esquerdo,0
utilizou expressao you are fake news razao pnr portugal,utiliz expressa you are fak news raza pnr portugal,utilizar expressao you are fake news razao pnr Portugal,0
overdose tourette on the road comboio chegar cidade,overdos tourett on the road comboi cheg cidad,overdose tourette on The road comboior chegar cidade,0
braga planos prioritario conseguirmos fechar data avisamos,brag plan prioritari consegu fech dat avis,Braga plano prioritario conseguirr fechar data avisamo,0
sinto nojo comunicacao social esquerdalhos mau perder youarefakenews gotrump,sint noj comunicaca social esquerdalh mau perd youarefakenews gotrump,sinto nojo comunicacao social esquerdalho mau perder youarefakenews gotrump,1
america norte conceito jogar mata escolas ligeiramente diferente pratica,amer nort conceit jog mat escol ligeir diferent pratic,americo norte conceito jogar matar escola ligeiramente diferente pratico,0
sair ruas manifestar donald trump babacas palhacos idiotas estao ai p brasil sair rua,sair ruas manifest donald trump babac palhac idiot esta ai p brasil sair rua,sair rua manifestar donald Trump babaca palhaco idiota estao ai p Brasil sair rua,0
definicao balneario,definica balneari,definicao balneario,0
salmao optimo,salma optim,salmao optimo,0
aparece quiseres restaurante almeidas aberto ti,aparec quis restaur alme abert ti,aparecer quiser restaurante almeir abrir ti,0
zivkovic pequena maravilha,zivkovic pequen maravilh,zivkovic pequeno maravilha,0
batalha pedroso primeiros embates nacionalidade historia portugal,batalh pedros primeir embat nacional histor portugal,batalha pedroso primeiro embate nacionalidade historio Portugal,0
decepcionadissimo bbb,decepcionadissim bbb,decepcionadissimo bbb,0
pra mim bbb merda,pra mim bbb merd,pra eu bbb merdo,0
gostosas saiamna semana tava playboy,gostos saiamn seman tav playboy,gostoso saiamna semana tar playboy,1
so gordas feias pra caralho,so gord fei pra caralh,so gorda feio pra caralho,1
politicamente correto ta fudendo,polit corret ta fud,politicamente correto ta fuder,0
boca propaga so nazismo tambem chupa pau,boc propag so nazism tamb chup pau,boca propago so nazismo tamber chupa pau,0
aquecimento global severo,aquec global sever,aquecimento global severo,0
olha canalhice chamada culpa lei nao criminosos,olha canalhic cham culp lei nao crimin,olhar canalhice chamar culpa Lei nao criminoso,0
so nao roubar nao estuprar nao cometer latrocinio nao pra la simples matem,so nao roub nao estupr nao comet latrocini nao pra la simpl mat,so nao roubar nao estuprar nao cometer latrocinio nao pra la simples matem,0
ah voce nao presidiarios nao nao vitimas,ah voc nao presidiari nao nao vitim,ah voce nao presidiario nao nao vitima,0
pena presidiario estudante brasil nao pena inocentes acabam,pen presidiari estud brasil nao pen inocent acab,pena presidiario estudante Brasil nao pena inocente acabar,0
esquerda fala rebelioes justificam superlotacao nao fala motivo fizeram irem pras prisoes,esquerd fal rebelio justific superlotaca nao fal motiv fiz irem pras priso,esquerda falar rebelioes Justificam superlotacao nao falar motivo fazer ir pra prisoe,0
presidiario pena estuprador caras sao estuprados la pq esquerda gente,presidiari pen estupr car sao estupr la pq esquerd gent,presidiario pena estuprador caro sao estuprados la pq esquerda gente,0
representantes top conversa maneira aquecer escrever set,represent top convers maneir aquec escrev set,representante top conversa maneira aquecer escrever set,0
gente queixarse tremer frio gente gente doentes parkinson so feira,gent queixars trem fri gent gent doent parkinson so feir,gente queixarse tremer frio gente gente doente parkinson so feira,0
fico contente unico lista vivo,fic content unic list viv,fico contente unico listar vivo,0
ate trump ja farto posts frio parem,ate trump ja fart posts fri par,ate trump je a farto posts frio par,0
finalmente presidente jeito esperanca forte realmente comecar mudar forca tr,final president jeit esperanc fort realment comec mud forc tr,finalmente presidente jeito esperanca forte realmente comecar mudar forca tr,0
sonho nacionalismo pesadelo comunicacao social desejo mau ano jornalixo youarefakenews,sonh nacional pesadel comunicaca social desej mau ano jornalix youarefakenews,sonho nacionalismo pesadelo comunicacao social desejo mau ano jornalixo Youarefakenews,0
lava jato tava pra verdade pt partido criminoso celso daniel eduardo campos teori,lav jat tav pra verdad pt part crimin cels daniel eduard camp teor,lavar jato tar pra verdade pt partido criminoso celso Daniel eduardo campo teori,0
teori dinheiro aviao moderno iria morrer justo iria homologar delacao odebrecht,teor dinheir avia modern iri morr just iri homolog delaca odebrecht,teori dinheiro aviao moderno ir morrer justo ir homologar delacao odebrecht,0
calhau olhos,calhau olhos,calhau olho,0
resistencia vao voltar concerto bataclan raio nao cai x sitio deixemme sonhar,resistenc vao volt concert bataclan rai nao cai x siti deixemm sonh,resistencer vao voltar Concerto Bataclan raio nao cair x sitio deixemme sonhar,0
militante petista ja ameacou atirar sergio moro tentou limpar barra pt horas queda aviao,milit petist ja ameac atir sergi mor tent limp barr pt hor qued avia,militante petista ja ameacar atirar sergio moro tentar limpar barra pt horo queda aviao,0
feminismo igualdade homens mulheres,femin igualdad homens mulh,feminismo igualdade homem mulher,0
ruim representa feminismo incrivel ne,ruim represent femin incrivel ne,ruim representar feminismo incrivel ne,0
boulos lider terrorismo esquerda preso semana justiceiros movimentos sociais ligados boulos lamentam prisao,boul lid terror esquerd pres seman justiceir moviment soc lig boul lament prisa,boulo lider terrorismo esquerdar prender semana justiceiro movimento social ligar boulo lamentar prisao,0
pergunto terror esquerda violencia pm etc escandalosamente extremistas carai,pergunt terror esquerd violenc pm etc escandal extrem cara,Pergunto terror esquerdo violencer pm etc escandalosamente extremista carai,0
ue lula poderia entusiasmado encontro horas morte teori sobe teoria,ue lul pod entusiasm encontr hor mort teor sob teor,ue Lula poder entusiasmar encontro hora morte teori subir teorio,0
rt jornal globo mostra protesto pessoas trump esconde noite hoje,rt jornal glob mostr protest pesso trump escond noit hoj,rt jornal globo mostrar protesto pessoa trump esconder noite hoje,0
consegue mesma materia cara entrou armado roubar chamalo sus,conseg mesm mat car entrou armad roub chamal sus,conseguir mesmo materia caro entrar armar roubar chamalo sus,0
queres overdose tourette casino figueira nao paca olho passatempo pagina evento,quer overdos tourett casin figueir nao pac olho passatemp pagin event,quer overdose tourette casino figueirr nao paca olho passatempo paginar evento,0
acharem q fica clima estranho qd encontram exnamorada rualembremse q hoje hillary cumprimentar trump,achar q fic clim estranh qd encontr exnamor rualembrems q hoj hillary cumpriment trump,achar q ficar clima estranho qd encontrar exnamorar rualembremse q hoje hillary cumprimentar trump,0
trump discursa janeiro sera lembrado dia tomou chora esquerdalha global,trump discurs janeir ser lembr dia tom chor esquerdalh global,trump discursa janeiro sera lembrar dia tomar chorar esquerdalha global,1
judeu discursou protrump ue nao hitler possedetrump,jud discurs protrump ue nao hitl possedetrump,judeu discursar protrump ue nao Hitler possedetrump,0
hino cerimonia tomada posse presidente reality showfoi cantado miuda q reality show dito,hin cerimon tom poss president reality showfo cant miud q reality show dit,hino cerimonia tomar posse presidente reality showfoi cantar miuda q reality show dizer,0
rt democratas tambem boicotaram posse abraham lincoln ideia maluca acabar escravidao,rt democrat tamb boicot poss abrah lincoln ide maluc acab escravida,rt democrata tamber boicotar posse abrahar lincoln ideia maluco acabar escravidao,0
rt pessimo dia midiaimprensa nao noticiaram simplesmente manipularam torceram retorceram fat,rt pessim dia midiaimprens nao notic simples manipul torc retorc fat,rt pessimo dia midiaimprenso nao noticiar simplesmente manipular torcer retorcer fat,0
turma problematizacao ve preconceito pra pautar movimentos sao doentes mentais esquerda,turm problematizaca ve preconceit pra paut moviment sao doent ment esquerd,turma problematizacao ve preconceito pra pautar movimento sao doente mental esquerdo,1
pesopesado gangue comunicacao social apesar censura cobarde ridicularizarem opoe ja comecam tremer,pesopes gang comunicaca social apes censur cobard ridiculariz opo ja comec trem,pesopesar gangue comunicacao social apesar censura cobarde ridicularizar Opoe ja comecar tremer,0
tolerantes donos carneirada submissa contrariados so ofendem tentam ridicularizar hipocritas mau perder,toler don carneir submiss contrari so ofend tent ridiculariz hipocrit mau perd,tolerante donos carneirada submisso contrariar so ofender tentar ridicularizar hipocrita mau perder,0
nao estadista ja nervosa,nao estad ja nervos,nao estadista ja nervoso,0
rt pesopesado gangue comunicacao social apesar censura cobarde ridicularizarem opoe ja,rt pesopes gang comunicaca social apes censur cobard ridiculariz opo ja,rt pesopesar gangue comunicacao social apesar censura cobarde ridicularizar Opoe ja,0
supera quesito capa canalha ano,sup quesit cap canalh ano,superar quesito capa canalhar ano,0
censura democratica pior arbitraria hipocrita cobarde finge nao existir existe,censur democrat pior arbitr hipocrit cobard fing nao exist exist,censura democratico mau arbitraria hipocrito cobarde finge nao existir existir,0
pesadelo naaaa sonho tomando contornos realidade,pesadel naaa sonh tom contorn realidad,pesadelo naaaa sonho tomar contorno realidade,0
bonito democratas mostrarem cara tapada mau perder gentalha selvagem trumpinauguration,bonit democrat mostr car tap mau perd gentalh selvag trumpinauguration,bonito democrata mostrar cara tapado mau perder gentalha selvagem trumpinauguration,0
democratas gente tolerante nao aceitar mudanca operar,democrat gent toler nao aceit mudanc oper,democrata gente tolerante nao aceitar mudanca operar,0
obama faca viagem,obam fac viag,obamar facar viagem,0
recomendo jornalistasterroristas cartel comunicacao social comentadores carneirada histeri,recom jornalistasterror cartel comunicaca social coment carneir hister,recomendar jornalistasterroristas cartel comunicacao social comentador carneirada histeri,1
tao tolerantes democratas nao sabem perder hipocritas ressabiados vao esgotar medicamento,tao toler democrat nao sab perd hipocrit ressabi vao esgot medic,tao tolerante democrata nao saber perder hipocrita ressabiar vao esgotar medicamento,0
so ha detesto atrasado mental atrasado mental q pensa campeao qd atras ecra pc,so ha detest atras mental atras mental q pens campea qd atras ecra pc,so ha detesto atrasar mental atrasar mental q pensar Campeao qd atra ecro pc,0
rebenta bolha sporting passar fase piada fase meter pena,rebent bolh sporting pass fas piad fas met pen,rebentar Bolha Sporting passar fase piar fase meter pena,0
rt dr bruno apuramento directo sporting champions,rt dr brun apur direct sporting champions,rt dr bruno apuramento directo Sporting championsr,0
ia puxar emoji cao triste nao preciso,ia pux emoj cao trist nao precis,ir puxar emoji cao tristar nao preciso,0
arroto pq engole gas judeu,arrot pq engol gas jud,arroto pq engole go judeu,1
falar alemao caralho,fal alema caralh,falar alemao Caralho,0
ashsahashsahdsas melhor meme,ashsahashsahds melhor mem,ashsahashsahdsa bom meme,0
so pessoa nojenta capaz escrever barbaridade destas ah jornalista verdade desculpem,so pesso nojent capaz escrev barbar dest ah jornal verdad desculp,so pessoa nojentar capaz escrever barbaridade de este ah jornalista verdade desculper,1
organizadora marcha mulher eua implantacao sharia pais ligacao hamas,organiz march mulh eua implantaca shar pais ligaca ham,organizador marcho mulher eua implantacao shario pai ligacao hama,0
tres mulheres acusam donald trump denegrir mulheres,tres mulh acus donald trump denegr mulh,tr mulher acusar donald Trump denegrir mulher,0
rt proclamar diferenca sermos pnr,rt proclam diferenc serm pnr,rt proclamar diferenca sermos pnr,0
rt milhares portugueses passar fome comunicacao social preocupada tomada posse verg,rt milh portugues pass fom comunicaca social preocup tom poss verg,rt milhar português passar fome comunicacao social preocupar tomar posse verg,0
mosca achando problema so brasil geracao lacre,mosc achand problem so brasil geraca lacr,moscar achar problema so Brasil geracao Lacre,0
chegar hora europeus acordarem,cheg hor europeus acord,chegar hora europeu acordar,0
sharia conjunto leis islamicas voce nao ve feminismo protestos sharia,shar conjunt leis islam voc nao ve femin protest shar,sharir conjunto lei islamico voce nao ve feminismo protesto shario,0
fodase rafavaleu pena esperarque maravilha,fodas rafaval pen esperarqu maravilh,fodase rafavaleu pena esperarque maravilho,0
europeus vao acordando reagindo europa nacoes nacionalismo mundialismo opressor,europeus vao acord reag europ naco nacional mundial opressor,europeu vao acordar reagir Europa nacoes nacionalismo mundialismo opressor,0
nao papagueia politicamente tolerado silenciado ofendido ridicularizado argumentos situacao usam discriminacao,nao papag polit toler silenc ofend ridiculariz argument situaca usam discriminaca,nao papagueia politicamente tolerar silenciado ofendir ridicularizar argumento situacao usar discriminacao,0
voltou costas washington virandose pais real jurou defender forca trumppresident,volt cost washington virandos pais real jur defend forc trumppresident,voltar costa Washington virandoser pai real jurar defender forca trumppresident,0
rt feminismo homens ocidentais usem saia batom abram fronteiras muculmanos ligue,rt femin homens ocident usem sai batom abram fronteir muculman lig,rt feminismo homem ocidental usar saia batom abrir fronteira muculmano ligar,0
rt mulher virou principal massa manobra globalista tao usadas culpa muita propaganda prepotencia,rt mulh vir principal mass manobr global tao usad culp muit propagand prepotenc,rt mulher virar principal massa manobro globalisto tao usar culpa muito propaganda prepotencio,1
incomoda extremamente esquerda mulher nao vende discurso barato politicamente correto,incomod extrem esquerd mulh nao vend discurs barat polit corret,incomodo extremamente esquerdo mulher nao vender discurso barato politicamente correto,0
outro imbecil util usando fc diva pop achando ta destruindo mundo pensamentos perdidos,outr imbecil util usand fc div pop achand ta destru mund pensament perd,outro imbecil util usar fc divo pop achar ta destruir mundo pensamento perder,0
existem tipos casais,exist tip cas,existir tipo casal,0
idiota,idiot,idiota,0
galera democrata defensora direitos nao reconhecer resultado eleicoes livres democraticas,gal democrat defensor direit nao reconhec result eleico livr democrat,galerar democrata defensor direito nao reconhecer resultado eleicoes livre democratica,0
acabamos adicionar data tour overdose tourette fev ericeira bilhetes fnac,acab adicion dat tour overdos tourett fev ericeir bilhet fnac,acabamos adicionar data tour overdose tourette fev ericeiro bilhete fnac,0
infelizmente nao rafael porto vila real pega tropas escolhe,infeliz nao rafael port vil real peg trop escolh,infelizmente nao rafael Porto Vila Real pegar tropa escolhe,0
mendigos semabrigo sao paisagem lisboa regime gerou fosso imenso r,mendig semabrig sao paisag lisbo regim ger foss imens r,mendigo semabrigo sao paisagir Lisboa regime gerar fosso imenso r,0
imprensa serio ja passou limites voces nocao quao ridicula perseguicao alguem qu,imprens seri ja pass limit voc noca qua ridicul perseguica algu qu,imprensa serio ja passar limite voce nocao quao ridicular perseguicao alguir qu,0
humm nao entendi respeito nao respeito efeito fumos,humm nao entend respeit nao respeit efeit fum,humm nao entendi respeito nao respeito efeito fumos,0
defende obaminha paz,defend obaminh paz,defender obaminha paz,0
rt geracao bosta q fica internet tuitando ai trump n representa n deixarei trump gorvernar paz bolsonar,rt geraca bost q fic internet tuit ai trump n represent n deix trump gorvern paz bolson,rt geracao bosta q ficar Internet tuitar ai trump n representar n deixar Trump gorvernar paz bolsonar,0
demos mostrar amor esquerdistas proximo dai,dem mostr amor esquerd proxim dai,dar mostrar amor esquerdista proximo dai,0
fatos nao ha argumentos,fat nao ha argument,fato nao ha argumento,0
so pensa trump so fala donald algum fetiche claro esperanca amanhecer varie tema,so pens trump so fal donald algum fetich clar esperanc amanhec vari tem,so pensar trump so falar donald algum Fetiche claro esperanca amanhecer varie tema,0
hahahahaha espanhol nao lingua oficial eua,hahahahah espanhol nao lingu oficial eua,hahahahaha espanhol nao lingua oficial EUA,0
overdose tourette chegar cidade decidimos apresentarnos melhor eis manel cardoso,overdos tourett cheg cidad decid apresentarn melhor eis manel cardos,overdose tourette chegar cidade decidir apresentarno bom eis manel Cardoso,0
rt trump cortou grana grupos proaborto otima medida,rt trump cort gran grup proabort otim med,rt trump cortar grana grupo proaborto otimo medir,0
parabens vida basico inegociavel pessoa,parabens vid basic inegociavel pesso,parabem vida basico inegociavel pessoa,0
dai voce ve objetivo principal informar imagina,dai voc ve objet principal inform imagin,dai voce ve objetivo principal informar imaginar,0
companheira prefere europa la tomado terroristas quiser,companheir prefer europ la tom terror quis,companheira preferir Europa la tomar terrorista querer,0
dia pra voce acordou presente jornalista vergonha canal canalha ha,dia pra voc acord present jornal vergonh canal canalh ha,dia pra voce acordar presente jornalista vergonha canal canalhar ho,0
democracia cacete suprema corte britanica mano brexit,democrac cacet suprem cort britan man brexit,democracia cacete supremo corte britanico Mano brexit,0
redes sociais sao jornalismo nao deveria,red soc sao jornal nao dev,rede social sao jornalismo nao dever,0
rt descobrimos rui cruz chora filmes romanticos ccallstars,rt descobr rui cruz chor film romant ccallstars,rt descobrimo Rui Cruz chorar filme romantico ccallstar,0
julgamse mente aberta livres sao carneiros submissos consomem prontoapensar sao escravos poli,julgams ment abert livr sao carneir submiss consom prontoapens sao escrav pol,julgamse mente abrir livre sao carneiro submisso consumir prontoapensar sao escravo Poli,0
lugares patria gois distrito coimbra,lug patr gois distrit coimbr,lugar patr gois distrito coimbrar,0
inacreditavel totalmente imprensa cobria obama,inacreditavel total imprens cobr obam,inacreditavel totalmente imprensa cobr obamo,0
infelizmente nao la peticoes imbecis promulgaram aberracao faca queijo mao,infeliz nao la petico imbec promulg aberraca fac queij mao,infelizmente nao la peticoes imbecis promulgar aberracao facar queijo mao,0
birras partidocracia so prejudicam nacao reducao tsu ganham,birr partidocrac so prejudic naca reduca tsu ganh,birro partidocracer so prejudicar nacao reducao tsu ganhar,0
temas resultam visitas efectuadas assuncaocristas incluida mesquita submissao islaoinvasor,tem result visit efectu assuncaocr inclu mesquit submissa islaoinvasor,tema resultar visita efectuar assuncaocrista incluer mesquitar submissao islaoinvasor,1
populistas termo moda midia obviamente direito significa importante msm comparar,popul term mod mid obvi direit signif import msm compar,populista termo moda midiar obviamente direito significar importante msm comparar,0
guionista snl piada filho trump conta pessoal twitter despedida pedir desculpa liberdade,guionist snl piad filh trump cont pessoal twitt desped ped desculp liberdad,guionista snl piar filho trump contar pessoal twitter despedir pedir desculpa liberdade,0
melhor banda,melhor band,bom banda,0
emprestar documentario adorar,emprest documentari ador,emprestar documentario adorar,0
voce pesquisar asshole twitter traducao babaca idiota etc cai perfil trump imparcial,voc pesquis asshol twitt traduca babac idiot etc cai perfil trump imparcial,voce pesquisar asshole twitter traducao babaco idiota etc cair perfil trump imparcial,0
poise,pois,poise,0
n acredito separacaoprefiro acreditar integridade valores defenderes acreditas apesar consequencias,n acredit separacaoprefir acredit integr valor defend acredit apes consequenc,n acredito separacaoprefiro acreditar integridade valor defender acredita apesar consequencia,0
transformar pais inferno dara razao,transform pais infern dar raza,transformar pai inferno dara razao,0
acho so oferta nao certo desperdicio witsel jackson oscar ramires,acho so ofert nao cert desperdici witsel jackson oscar ram,achar so oferta nao certo desperdicio witsel jackson oscar ramir,0
chega fakenewsmedia trump,cheg fakenewsmed trump,chegar fakenewsmedia trump,0
acho q cagar pressao industria d seguires teres sucessovai continuar fazelo,acho q cag pressa industr d segu ter sucessova continu fazel,achar q cagar pressao industria d seguir ter sucessovair continuar fazelo,0
rt situacao portugal ja deploravel governo fique pior https,rt situaca portugal ja deploravel govern fiqu pior https,rt situacao Portugal ja deploravel governo ficar mau httpsr,0
duvida publica trilhoes tranquilo gente publico nao ninguem s,duv public trilho tranquil gent public nao ningu s,duver publicar trilhoes tranquilo gente publico nao ninguem s,0
espantosa total nivel comentarios certos jovens esquerda caviar safam algum humor,espant total nivel comentari cert jovens esquerd cavi saf algum humor,espantoso total nivel comentario certos jovem esquerdar caviar safam algum humor,0
nivel destas tres senhoras exigem respeito trump,nivel dest tres senhor exig respeit trump,nivel de este tr senhora exigir respeito Trump,0
ate melhor especial standup vi surpresa,ate melhor especial standup vi surpres,ate bom especial standup ver surpresa,0
brilhante albertogoncalves goza inenarravel comunicacao social bempensantes ca sitio,brilhant albertogoncalv goz inenarravel comunicaca social bempens ca siti,brilhante albertogoncalve gozar inenarravel comunicacao social bempensante ca sitio,0
muitissimo,muitissim,muitissimo,0
devia indignarme c discurso d dono d padaria portuguesa porraaquels croissants brioche feitos maos q ganham EUR sao tao bons,dev indignarm c discurs d don d pad portugues porraaquels croissants brioch feit maos q ganh eur sao tao bons,dever indignarme c discurso d dono d padaria português porraaquels croissants brioche fazer mao q ganhar EUR sao tao bom,0
batemos recorde utilizacao palavra nabo tv portuguesa nao acreditam overdosedetourette,bat record utilizaca palavr nab tv portugues nao acredit overdosedetourett,batemos recorde utilizacao palavra nabo tv português nao acreditar overdosedetourette,0
quantos anos pequenina,quant anos pequenin,quanto ano pequenino,0
acredite quiser existe agefluid ideologia genero provavelmente ati,acredit quis exist agefluid ideolog gener provavel ati,acreditar querer existir agefluid ideologia genero provavelmente ati,0
ixquerda desconstruindo pedofilia,ixquerd desconstru pedofil,ixquerdar desconstruir pedofiler,0
baldwin carta branca senao nao aceitava apresentar,baldwin cart branc sena nao aceit apresent,baldwin carta branco senao nao aceitar apresentar,0
prova nao importa jair nao preconceituoso q enquadra moda atual difamalo,prov nao import jair nao preconceitu q enquadr mod atual difamal,prova nao importa jair nao preconceituoso q enquadra modo atual difamalo,0
assumiu ja causa choro pelegada pleno comeco imagine sera ano,assum ja caus chor peleg plen comec imagin ser ano,assumir ja causa chorar pelegar pleno comeco imagine serar ano,0
acho querer espalhar voce olhar ja muro la,acho quer espalh voc olhar ja mur la,achar querer espalhar voce olhar ja muro la,0
rosto odio trump nojo jornalista politico oposicao espuma raiva melhor aconteceu eua,rost odi trump noj jornal polit oposica espum raiv melhor acontec eua,rosto odior trump nojo jornalista politico oposicao espumar raiva bom acontecer EUA,0
homem determinado cumpridor forca trumppresident,hom determin cumpridor forc trumppresident,homem determinar cumpridor forca trumppresident,0
rt homem determinado cumpridor forca trumppresident,rt hom determin cumpridor forc trumppresident,rt homem determinar cumpridor forca trumppresident,0
demos movimento,dem moviment,dar Movimento,0
crime traicao identidade pnr ha desobedecer estupidez,crim traica ident pnr ha desobedec estupidez,crime traicao identidade pnr ha desobedecer estupidez,0
candidatura realmente diferenciadora,candidatur realment diferenc,candidatura realmente diferenciador,0
