,sentence_pair_id,premise,hypothesis,relatedness_score,entailment_judgment,premise_processed,hypothesis_processed
912,913,"O nível do manancial, no entanto, caiu de 89,6% para 89,5% nesta sexta-feira.","Nas últimas 24 horas, o manancial caiu de 72% para 71,9%.",3.25,0,"['nível', 'manancial', 'entanto', 'cair', '896', '895', 'em este', 'sextafeira']","['último', '24', 'hora', 'manancial', 'cair', '72', '719']"
913,914,Mais de 387 milhões de pessoas em todo o planeta são diabéticas.,"No Brasil, mais de 12 milhões são diabéticos e 24% deles não receberam o diagnóstico.",2.75,0,"['387', 'milhão', 'pessoa', 'todo', 'planeta', 'diabético']","['Brasil', '12', 'milhão', 'diabético', '24', 'receber', 'diagnóstico']"
914,915,As Forças Armadas do Egito afirmaram que pelo menos 100 militantes e 17 soldados foram mortos.,"Desde então, pelo menos 600 policiais e membros das Forças Armadas foram mortos.",2.25,0,"['força', 'armar', 'egito', 'afirmar', 'pouco', '100', 'militante', '17', 'soldado', 'morto']","['desde', 'então', 'menos', '600', 'policial', 'membro', 'força', 'armado', 'morto']"
915,916,"No Marotinho, sete pessoas foram resgatadas, três com vida.",Não tem detalhes sobre o estado de saúde das pessoas resgatadas.,2.25,0,"['marotinho', 'sete', 'pessoa', 'resgatar', 'três', 'vida']","['detalhe', 'sobre', 'estado', 'saúder', 'pessoa', 'resgatar']"
916,917,"Já a Irlanda enfrenta a Polônia, no mesmo dia, na casa do adversário.",Polônia e Irlanda fazem confronto direto.,3.75,1,"['irlanda', 'enfrentar', 'polônio', 'dia', 'casa', 'adversário']","['Polônia', 'irlando', 'fazer', 'confronto', 'direto']"
917,918,"Os critérios para escolha, no entanto, nunca foram claros.",Entre os critérios para escolha estão preço e prazo para transferência de tecnologia.,2.5,0,"['critério', 'escolha', 'entanto', 'nunca', 'claro']","['critério', 'escolhir', 'preço', 'prazo', 'transferênciar', 'tecnologia']"
918,919,A construtora é uma das empresas investigadas na Operação Lava Jato.,O empreendimento da Eletronuclear está no centro das investigações da Operação Lava Jato.,3.0,0,"['construtora', 'empresa', 'investigadas', 'operação', 'lavar', 'jato']","['empreendimento', 'eletronuclear', 'centro', 'investigação', 'operação', 'lavar', 'jato']"
919,920,"Assim, Neymar poderia jogar a final, caso a seleção se classifique.","Caso a punição seja mantida, Neymar estará fora da Copa América.",3.25,0,"['assim', 'neymar', 'poder', 'jogar', 'final', 'caso', 'seleção', 'classifique']","['caso', 'punição', 'mantir', 'neymar', 'estar', 'copa', 'américo']"
920,921,A exibição acontecerá durante o Festival da Mulher Afro Latino-Americana e Caribenha (Latinidades).,O festival celebra o Dia da Mulher Negra Latino-Americana e Caribenha em Brasília.,3.0,0,"['exibição', 'acontecer', 'durante', 'festival', 'mulher', 'afro', 'latinoamericana', 'caribenha', 'latinidade']","['festival', 'celebrar', 'dia', 'mulher', 'negro', 'latinoamericano', 'caribenha', 'brasílir']"
921,922,"Os cartões estarão disponíveis nas redes Saraiva e Walmart e, em novembro, nas lojas da rede Pão de Açúcar.",Os cartões podem ser adquiridos em algumas lojas das redes Saraiva e Walmart.,3.25,1,"['cartão', 'estar', 'disponível', 'rede', 'saraivo', 'walmart', 'novembro', 'loja', 'Rede', 'pão', 'açúcar']","['cartão', 'poder', 'adquirir', 'algum', 'loja', 'rede', 'saraivo', 'walmart']"
922,923,"Nesta segunda, Gustavo treinou normalmente com a equipe e até participou de um trabalho tático comandado por Dorival Júnior.",Dorival Júnior coordenou um trabalho tático nessa segunda.,3.5,1,"['em este', 'segundo', 'Gustavo', 'treinar', 'normalmente', 'equipe', 'participar', 'trabalho', 'tático', 'comandar', 'dorival', 'júnior']","['dorival', 'júnior', 'coordenar', 'trabalho', 'tático', 'em esse', 'segundo']"
923,924,Os vírus 16 e 18 são responsáveis por 70% dos casos de câncer de colo de útero.,Os tipos 16 e 18 causam em torno de 70% dos casos de câncer do colo de útero.,4.5,2,"['vírus', '16', '18', 'responsável', '70', 'caso', 'câncer', 'colo', 'útero']","['tipo', '16', '18', 'causar', 'torno', '70', 'caso', 'câncer', 'colo', 'útero']"
924,925,"Com essa medida, o governo espera arrecadar R$ 7,38 bilhões neste ano.","A expectativa do governo é arrecadar R$ 12,18 bilhões com esta medida em 2015.",2.75,0,"['medida', 'governo', 'esperar', 'arrecadar', 'r', '738', 'bilhão', 'em este', 'ano']","['expectativa', 'governo', 'arrecadar', 'r', '1218', 'bilhão', 'meder', '2015']"
925,926,Grazi preferiu não comentar sobre seu futuro após a novela.,"""Grazi assustadoramente entregue"", comentou outro internauta.",1.75,0,"['Grazi', 'preferir', 'comentar', 'sobre', 'futuro', 'após', 'novela']","['grazi', 'assustadoramente', 'entregar', 'comentar', 'outro', 'internauta']"
926,927,Os cartões de presente pré-pagos serão comercializados em lojas físicas e poderão ser usados para pagar a assinatura mensal do serviço.,Com os cartões pré-pagos será possível pagar a assinatura diretamente com dinheiro.,3.25,0,"['cartão', 'presente', 'prépago', 'comercializado', 'loja', 'físico', 'poder', 'usar', 'pagar', 'assinatura', 'mensal', 'serviço']","['cartão', 'prépago', 'possível', 'pagar', 'assinatura', 'diretamente', 'dinheiro']"
927,928,"Ele estava internado no Hospital Samaritano, em Botafogo, onde tratava um câncer de próstata.",Ele estava internado no Hospital Samaritano e fazia tratamento contra câncer na próstata.,4.75,1,"['internar', 'hospital', 'samaritano', 'botafogo', 'onde', 'tratar', 'câncer', 'próstato']","['internar', 'hospital', 'samaritano', 'fazer', 'tratamento', 'contra', 'câncer', 'próstato']"
928,929,"De junho para julho, o IPC desacelerou de 5,47% para 0,52%.","Indicador ficou em 0,69%, ante 0,67% em junho.",1.75,0,"['junho', 'julho', 'ipc', 'desacelerar', '547', '052']","['indicador', 'ficar', '069', 'ante', '067', 'junho']"
929,930,"No mesmo período de 2014, a renúncia fiscal com desonerações foi de R$ 23,8 bilhões.","Apenas em março, o impacto das desonerações foi de R$ 9,7 bilhões.",2.75,0,"['período', '2014', 'renúncia', 'fiscal', 'desoneração', 'r', '238', 'bilhão']","['apenas', 'março', 'impacto', 'desoneração', 'r', '97', 'bilhão']"
930,931,Justiça Federal do Maranhão revogou prisão preventiva nesta sexta-feira (9).,"No último dia 9, a prisão preventiva foi revogada.",4.0,1,"['Justiça', 'federal', 'maranhão', 'revogar', 'prisão', 'preventivo', 'em este', 'sextafeira', '9']","['último', 'dia', '9', 'prisão', 'preventivo', 'revogar']"
931,932,"Isso mesmo, parece que a paz voltou a reinar no palco de Joelma.",Chimbinha voltou a desabafar sobre o fim de seu casamento com Joelma.,2.0,0,"['parecer', 'paz', 'voltar', 'reinar', 'palco', 'Joelma']","['chimbinha', 'voltar', 'desabafar', 'sobre', 'fim', 'casamento', 'joelma']"
932,933,As novas medidas também precisarão ser aprovadas do Congresso.,Todas as medidas que passam pelo Congresso Nacional são melhoradas.,2.0,0,"['novo', 'medida', 'precisar', 'aprovar', 'congresso']","['todo', 'medida', 'passar', 'congresso', 'nacional', 'melhoradas']"
933,934,"Para 37,1% dos entrevistados, a corrupção é o principal problema do País.","Já 53,4% avaliam que a corrupção é um dos principais problemas do país.",3.25,0,"['371', 'entrevistado', 'corrupção', 'principal', 'problema', 'país']","['534', 'avaliar', 'corrupção', 'principal', 'problema', 'país']"
934,935,"Em junho, este grupo de produtos mostrou variação de 0,60%.","O indicador registra variação de 6,48% em 12 meses.",1.25,0,"['junho', 'grupo', 'produto', 'mostrar', 'variação', '060']","['indicador', 'registrar', 'variação', '648', '12', 'mês']"
935,936,"O bronze foi para a norte-americana Kelly Taylor, com a marca de 15min52s78.",A mexicana ficou com a prata e a norte-americana com o bronze.,3.75,0,"['bronze', 'norteamericano', 'kelly', 'taylorr', 'marcar', '15min52s78']","['mexicano', 'ficar', 'prata', 'norteamericano', 'bronze']"
936,937,"Por fim, o executivo comentou sobre as mudanças de jogabilidade apresentadas em Street Fighter V.",Ela estreia no mundo do game como uma personagem selecionável em Street Fighter V.,2.0,0,"['fim', 'executivo', 'comentar', 'sobre', 'mudança', 'jogabilidade', 'apresentar', 'street', 'fighter', 'v']","['estrear', 'mundo', 'game', 'personagem', 'selecionável', 'street', 'fighter', 'v']"
937,938,A autorização foi publicada no Diário Oficial da união desta quarta-feira.,A decisão consta de portaria publicada no Diário Oficial da União.,3.25,0,"['autorização', 'publicar', 'diário', 'oficial', 'união', 'de este', 'quartafeira']","['decisão', 'constar', 'portario', 'publicar', 'diário', 'oficial', 'união']"
938,939,Mais um capítulo da novela Joelma x Chimbinha veio à tona.,"Mais uma vez, a novela entre Joelma e Chimbinha rende novos capítulos.",5.0,2,"['capítulo', 'novela', 'Joelma', 'x', 'chimbinha', 'vir', 'tonar']","['vez', 'novela', 'joelma', 'chimbinha', 'render', 'novo', 'capítulo']"
939,940,"Na terça-feira, 15, a reunião da Assembleia Legislativa precisou ser cancelada.",As diversas categorias negociaram uma reunião com Brum e com os 15 deputados da Assembleia Legislativa.,2.5,0,"['terçafeira', '15', 'reunião', 'assembleio', 'legislativo', 'precisar', 'cancelar']","['diversos', 'categoria', 'negociar', 'reunião', 'brum', '15', 'deputado', 'assembleia', 'legislativo']"
940,941,O veto ao projeto deverá ser publicado na edição de hoje do Diário Oficial da União.,Resolução sobre tema foi publicada ontem no Diário Oficial da União.,3.0,0,"['veto', 'projeto', 'dever', 'publicar', 'edição', 'hoje', 'diário', 'oficial', 'união']","['resolução', 'sobre', 'tema', 'publicar', 'ontem', 'diário', 'oficial', 'união']"
941,942,"A Capcom ainda não revelou o lutador oficialmente, mas há um trailer disponível.","A Capcom deverá apresentar ainda mais dois lutadores, para formar um elenco de 16 no lançamento.",3.5,0,"['capcom', 'ainda', 'revelar', 'lutador', 'oficialmente', 'trailer', 'disponível']","['capcom', 'dever', 'apresentar', 'ainda', 'dois', 'lutador', 'formar', 'elenco', '16', 'lançamento']"
942,943,"Aqui é um país democrático, não podemos aceitar intolerância, temos que repeitar as diferenças.",Nós não podemos aceitar a intolerância.,3.75,1,"['aqui', 'país', 'democrático', 'poder', 'aceitar', 'intolerância', 'repeitar', 'diferença']","['poder', 'aceitar', 'intolerância']"
943,944,É um prazo que pode demorar.,Essa tramitação tem prazos na forma do regimento.,2.5,0,"['prazo', 'poder', 'demorar']","['tramitação', 'prazo', 'forma', 'regimento']"
944,945,Ela agradeceu o trabalho feito por todos os ministros que foram demitidos.,Dois ministros foram demitidos antes do anúncio oficial de Dilma.,2.5,0,"['agradecer', 'trabalho', 'fazer', 'todo', 'ministro', 'demitir']","['dois', 'ministro', 'demitir', 'antes', 'anúncio', 'oficial', 'dilmar']"
945,946,"Os trabalhadores estão concentrados na Praça da Matriz desde a manhã, onde está montado acampamento.","Desde cedo, os servidores já estavam concentrados na Praça da Matriz.",3.75,1,"['trabalhador', 'concentrados', 'Praça', 'matriz', 'desde', 'manhã', 'onde', 'montar', 'acampamento']","['desde', 'cedo', 'servidor', 'concentrados', 'Praça', 'matriz']"
946,947,A Lotofácil será reajustada um dia antes e cobrará R$ 2.,"O preço da Lotofácil com 15 números passará de R$ 1,50 para R$ 2.",4.0,0,"['lotofácil', 'reajustar', 'dia', 'antes', 'cobrar', 'r', '2']","['preço', 'lotofácilr', '15', 'número', 'passar', 'r', '150', 'r', '2']"
947,948,Este foi o primeiro lucro registrado pela mineradora após 3 trimestres consecutivos de perdas.,O resultado é o primeiro positivo após três trimestres consecutivos de perdas.,4.5,1,"['primeiro', 'lucro', 'registrar', 'mineradora', 'após', '3', 'trimestr', 'consecutivo', 'perda']","['resultar', 'primeiro', 'positivo', 'após', 'três', 'trimestr', 'consecutivo', 'perda']"
948,949,Ela ainda declarou que considera o assunto a respeito das provocações da brasileira resolvido.,A brasileira ainda disse que não se arrepende das provocações que fez.,2.75,0,"['ainda', 'declarar', 'considerar', 'assunto', 'respeito', 'provocação', 'brasileira', 'resolver']","['brasileiro', 'ainda', 'dizer', 'arrepender', 'provocação', 'fazer']"
949,950,"Já em relação ao primeiro trimestre deste ano a cifra é 38,1% maior.",O mercado repercute a divulgação dos dados referente ao segundo trimestre deste ano.,1.75,0,"['relação', 'primeiro', 'trimestre', 'de este', 'ano', 'cifro', '381', 'grande']","['mercado', 'repercutir', 'divulgação', 'dar', 'referente', 'segundo', 'trimestre', 'de este', 'ano']"
950,951,O Corinthians também deixou de lado um reconhecimento a Cássio.,"Por fim, Cássio trouxe à tona lembranças de seu início no Corinthians.",2.0,0,"['corinthian', 'deixar', 'lado', 'reconhecimento', 'cássio']","['fim', 'cássio', 'trazer', 'tonar', 'lembrança', 'início', 'corinthian']"
951,952,O Grupo G teve nesta segunda-feira a sua rodada final para decidir a ordem dos classificados para a Eurocopa 2016.,A Rússia não correu riscos nesta segunda-feira pelo Grupo G das Eliminatórias da Eurocopa.,3.0,0,"['grupo', 'g', 'em este', 'segundafeira', 'rodar', 'final', 'decidir', 'ordem', 'classificar', 'eurocopa', '2016']","['Rússia', 'correr', 'risco', 'em este', 'segundafeira', 'grupo', 'g', 'eliminatória', 'eurocopa']"
952,953,"O terceiro colocado foi o argentino Federico Molinaria, que somou 15,000.","Com 15,000, o argentino Frederico Molinaria terminou na terceira colocação.",5.0,2,"['terceiro', 'colocado', 'argentino', 'federico', 'molinaria', 'somar', '15000']","['15000', 'argentino', 'frederico', 'Molinaria', 'terminar', 'terceiro', 'colocação']"
953,954,"Com a vitória, o time tricolor volta ao G-4, de onde já estava com saudades.","Caso vença na casa do rival, o Tricolor volta ao G-4.",3.75,0,"['vitória', 'time', 'tricolor', 'volta', 'g4', 'onde', 'saudade']","['caso', 'vencer', 'casa', 'rival', 'tricolor', 'voltar', 'G4']"
954,955,"O resultado do Sisutec 2015, em primeira chamada, está previsto para o dia 7 de julho.",De 8 a 10 de julho acontece a matrícula para a 1ª chamada.,2.25,0,"['resultado', 'sisutec', '2015', 'primeiro', 'chamada', 'prever', 'dia', '7', 'julho']","['8', '10', 'julho', 'acontecer', 'matrícula', '1', 'chamar']"
955,956,"Diante da proibição de que manifestantes acompanhassem a votação, deputados do PSOL e do PT deixaram a Assembleia Legislativa antes da votação.","Antes da votação, os deputados do PT e Psol se retiraram da Assembleia Legislativa.",4.0,1,"['diante', 'proibição', 'manifestante', 'acompanhar', 'votação', 'deputado', 'psol', 'pt', 'deixar', 'assembleia', 'legislativo', 'antes', 'votação']","['antes', 'votação', 'deputado', 'pt', 'psol', 'retirar', 'assembleia', 'legislativo']"
956,957,Executivos das construtoras foram presos em nova fase da Lava Jato.,Relembre as principais prisões da Operação Lava Jato até o momento.,3.0,0,"['executivo', 'construtora', 'prender', 'novo', 'fase', 'lavar', 'jato']","['relembre', 'principal', 'prisão', 'operação', 'lavar', 'jato', 'momento']"
957,958,"Cerca de 2,5 mil pessoas assistiram à cerimônia.","Segundo a Polícia Militar, cerca de 50 mil pessoas estiveram no local.",1.25,0,"['cerca', '25', 'mil', 'pessoa', 'assistir', 'cerimônia']","['segundo', 'polícia', 'militar', 'cerca', '50', 'mil', 'pessoa', 'local']"
958,959,Vaccari e Duque foram presos pela Polícia Federal em ações da Operação Lava Jato.,Duque e Vaccari já respondem por outra denúncia da operação Lava Jato.,3.5,0,"['vaccari', 'duque', 'prender', 'polícia', 'federal', 'ação', 'operação', 'lavar', 'jato']","['duque', 'vaccari', 'responder', 'outro', 'denúncia', 'operação', 'lavar', 'jato']"
959,960,"No acumulado do primeiro semestre, o lucro foi de R$ 5,319 bilhões, aumento de 12,8%.","No semestre, a receita soma R$ 20,678 bilhões, aumento de 20,1%.",2.5,0,"['acumular', 'primeiro', 'semestre', 'lucro', 'r', '5319', 'bilhão', 'aumento', '128']","['semestre', 'receitar', 'somar', 'r', '20678', 'bilhão', 'aumento', '201']"
960,961,"O Internacional está praticamente definido para enfrentar o Coritiba neste sábado, às 18h30, no Couto Pereira.","O Internacional terá uma postura bastante diferente diante do Coritiba, às 18:30 deste sábado, no Couto Pereira.",3.75,0,"['internacional', 'praticamente', 'definir', 'enfrentar', 'coritiba', 'em este', 'sábado', '18h30', 'Couto', 'pereirar']","['internacional', 'posturar', 'bastante', 'diferente', 'diante', 'coritiba', '1830', 'de este', 'sábado', 'Couto', 'pereirar']"
961,962,"""Bang"", o novo CD de Anitta, vazou na internet esta sexta-feira, e os fãs da cantora comemoraram.","O novo CD de Anitta, denominado ""Bang"", vazou na internet nesta sexta-feira.",4.0,1,"['bang', 'novo', 'cd', 'anitta', 'vazar', 'Internet', 'sextafeira', 'fã', 'cantor', 'comemorarar']","['novo', 'cd', 'anitta', 'denominar', 'bang', 'vazar', 'Internet', 'em este', 'sextafeira']"
962,963,"A Selic média do ano, no entanto, subiu de 13,14% ao ano para 13,20%.","Quatro semanas antes, essa taxa média estava em 13,06% ao ano.",2.0,0,"['selic', 'médio', 'ano', 'entanto', 'subir', '1314', 'ano', '1320']","['quatro', 'semana', 'antes', 'taxa', 'médio', '1306', 'ano']"
963,964,Os fãs da cantora usaram as redes sociais para comemorar e outros para criticar.,O vídeo ganhou elogios dos fãs nas redes sociais pela produção caprichada.,2.25,0,"['fã', 'cantor', 'usar', 'rede', 'social', 'comemorar', 'outro', 'criticar']","['vídeo', 'ganhar', 'elogio', 'fã', 'rede', 'social', 'produção', 'caprichar']"
964,965,A média da projeção da pesquisa da Bloomberg com seis analistas apontava para lucro de R$ 767 milhões.,Média das projeções compiladas pela pesquisa Bloomberg com 12 analistas de mercado.,3.5,0,"['médio', 'projeção', 'pesquisar', 'bloomberg', 'seis', 'analista', 'apontar', 'lucro', 'r', '767', 'milhão']","['médio', 'projeção', 'compilar', 'pesquisa', 'bloomberg', '12', 'analista', 'mercado']"
965,966,Mas era o Joinville que mandava no jogo e o gol foi um prêmio para isso.,E André não se destacou diante do Joinville só com o gol marcado.,2.75,0,"['joinville', 'mandar', 'jogo', 'gol', 'prêmio']","['André', 'destacar', 'diante', 'joinville', 'gol', 'marcar']"
966,967,Esses dois primeiros casos foram registrados no 2º Distrito Policial (Brás Cubas) da cidade.,Os quatro assassinatos foram registrados no 1º Distrito Policial (Centro).,2.25,0,"['dois', 'primeiro', 'caso', 'registrar', '2', 'distrito', 'policial', 'brás', 'cuba', 'cidade']","['quatro', 'assassinato', 'registrar', '1', 'distrito', 'policial', 'Centro']"
967,968,"O criador é Giovanni Bianco, diretor de arte parceiro de Madonna e responsável pelas capas dos seus discos.",Giovanni é o diretor de arte responsável pelas capas dos discos da Madonna.,4.25,1,"['criador', 'Giovanni', 'bianco', 'diretor', 'arte', 'parceiro', 'Madonna', 'responsável', 'capa', 'disco']","['Giovanni', 'diretor', 'arte', 'responsável', 'capa', 'disco', 'Madonna']"
968,969,Sampaio ressaltou que o novo pedido de impeachment tem todos os elementos para ser aceito por Cunha.,Depende da decisão de Cunha para fazer avançar o impeachment.,2.5,0,"['sampaio', 'ressaltar', 'novo', 'pedir', 'impeachment', 'todo', 'elemento', 'aceito', 'cunhar']","['depender', 'decisão', 'cunha', 'fazer', 'avançar', 'impeachment']"
969,970,"Já a quadra teve 7.581 acertos, e seus apostadores levarão cada um R$ 719,19.","Na faixa seguinte, de 17 acertos, 760 apostadores ganharão R$ 185,85 individuais.",2.5,0,"['quadra', '7581', 'acerto', 'apostador', 'levar', 'cada', 'r', '71919']","['faixa', 'seguinte', '17', 'acerto', '760', 'apostador', 'ganhar', 'r', '18585', 'individual']"
970,971,"Até março, as vendas do varejo restrito acumulam alta de 1,0% nos últimos 12 meses.","Entre fevereiro e março, o varejo restrito registrou queda de 0,9%.",3.75,0,"['março', 'venda', 'varejo', 'restrito', 'acumular', 'alto', '10', 'último', '12', 'mês']","['fevereiro', 'março', 'varejo', 'restrito', 'registrar', 'queda', '09']"
971,972,"Recentemente, o presidente da CBF enviou Fernando Sarney como representante a uma reunião da Conmebol.","Filho de José Sarney, Fernando é um dos vice-presidentes da CBF.",2.75,0,"['recentemente', 'presidente', 'cbf', 'enviar', 'Fernando', 'sarney', 'representante', 'reunião', 'conmebol']","['Filho', 'José', 'sarney', 'Fernando', 'vicepresidente', 'cbf']"
972,973,"Após esse período, as chamadas com 8 dígitos não serão mais completadas.",As chamadas com oito dígitos serão completadas normalmente até o dia 20 de outubro.,3.5,0,"['após', 'período', 'chamar', '8', 'dígito', 'completada']","['chamar', 'oito', 'dígito', 'completar', 'normalmente', 'dia', '20', 'outubro']"
973,974,"Ao final do debate, Hillary Clinton foi considerada vencedora de acordo com a CNN.","Hillary Clinton, por ser a mais cotada, fica na posição central.",3.0,0,"['final', 'debate', 'hillary', 'clinton', 'considerar', 'vencedor', 'acordo', 'cnn']","['hillary', 'clinton', 'cotar', 'ficar', 'posição', 'central']"
974,975,"Segundo Barbosa, atualmente há cerca de 22 mil funcionários comissionados, os chamados DAS.","Atualmente, o número de cargos comissionados é de cerca de 22 mil pessoas.",4.25,1,"['segundo', 'barbosa', 'atualmente', 'cerca', '22', 'mil', 'funcionário', 'comissionar', 'chamar']","['atualmente', 'número', 'cargo', 'comissionar', 'cerca', '22', 'mil', 'pessoa']"
975,976,"No primeiro trimestre deste ano, houve prejuízo líquido de R$ 9,538 bilhões.","Nos primeiros três meses deste ano, houve prejuízo líquido de 9,538 bilhões.",5.0,2,"['primeiro', 'trimestre', 'de este', 'ano', 'prejuízo', 'líquido', 'r', '9538', 'bilhão']","['primeiro', 'três', 'mês', 'de este', 'ano', 'prejuízo', 'líquido', '9538', 'bilhão']"
976,977,O atacante cumpriu duas partidas no torneio sul-americano e ainda precisa cumprir mais duas nas eliminatórias da Copa.,Ele já cumpriu duas partidas e precisará cumprir as duas próximas nas Eliminatórias da Copa.,4.0,1,"['atacante', 'cumprir', 'dois', 'partida', 'torneio', 'sulamericano', 'ainda', 'precisar', 'cumprir', 'dois', 'eliminatória', 'Copa']","['cumprir', 'dois', 'partida', 'precisar', 'cumprir', 'dois', 'próximo', 'eliminatória', 'Copa']"
977,978,"Os filmes ""Maze Runner: Prova de Fogo"" e ""Férias Frustradas"" continuam em cartaz.","A animação Hotel Transilvânia 2, continuação do filme de 2012, entra em cartaz hoje nos cinemas.",1.5,0,"['filme', 'maze', 'runner', 'prova', 'fogo', 'férias', 'frustrar', 'continuar', 'cartaz']","['animação', 'hotel', 'transilvânia', '2', 'continuação', 'filme', '2012', 'entrar', 'cartaz', 'hoje', 'cinema']"
978,979,O Chelsea venceu o jogo por 2 a 0 e chegou a sete pontos.,"Contudo, bastou o Chelsea vencer por 2 a 0 para Mourinho voltar a descascar seus abacaxis.",3.5,0,"['chelsea', 'vencer', 'jogo', '2', '0', 'chegar', 'sete', 'ponto']","['contudo', 'bastar', 'chelsea', 'vencer', '2', '0', 'mourinho', 'voltar', 'descascar', 'abacaxis']"
979,980,Até para o referendo proposto pelo primeiro-ministro grego para 5 de julho já se cunhou Greferendum.,"A ser aprovado, deverá decorrer no dia 5 de Julho.",2.0,0,"['referendo', 'propor', 'primeiroministro', 'grego', '5', 'julho', 'cunhar', 'greferendum']","['aprovar', 'dever', 'decorrer', 'dia', '5', 'julho']"
980,981,A faixa etária que mais foi presa é a de 18 a 24 anos.,O relatório aponta que 13 Estados tiveram crescimento acima da marca nacional.,1.0,0,"['faixa', 'etário', 'presa', '18', '24', 'ano']","['relatório', 'apontar', '13', 'estado', 'crescimento', 'acima', 'marca', 'nacional']"
981,982,Um corpo decapitado foi encontrado ao lado de uma bandeira islâmica.,"No local, uma empresa, foi encontrado o corpo de um homem decapitado.",3.5,0,"['corpo', 'decapitar', 'encontrar', 'lado', 'bandeira', 'islâmico']","['local', 'empresa', 'encontrar', 'corpo', 'homem', 'decapitar']"
982,983,"A princesa Charlotte, segunda filha de William e Kate Middleton, nasceu no dia 2 de maio.","Charlotte também é o nome do meio da irmã de Kate Middleton, Pippa.",3.0,0,"['princesa', 'charlotte', 'segundo', 'filha', 'William', 'Kate', 'Middleton', 'nascer', 'dia', '2', 'maio']","['charlotte', 'nome', 'meio', 'irmã', 'Kate', 'middleton', 'pippa']"
983,984,"Por outro lado, Rogério Ceni mostrou estar pronto para voltar ao gol são-paulino.",A volta do goleiro Rogério Ceni à meta são-paulina não foi da forma como a torcida esperava.,2.75,0,"['outro', 'lado', 'rogério', 'ceni', 'mostrar', 'pronto', 'voltar', 'gol', 'sãopaulino']","['voltar', 'goleiro', 'rogério', 'ceni', 'meta', 'sãopaulinar', 'forma', 'torcida', 'esperar']"
984,985,Foi a primeira vez que Dilma visitou as obras no trecho da ferrovia que passa pelo estado.,"Pela manhã, Dilma Rousseff visitou um trecho das obras da ferrovia Transnordestina.",3.5,0,"['primeiro', 'vez', 'dilmar', 'visitar', 'obra', 'trecho', 'ferrovia', 'passar', 'estar']","['manhã', 'dilmar', 'Rousseff', 'visitar', 'trecho', 'obra', 'ferrovia', 'transnordestino']"
985,986,O atacante Diego Costa poderá ser punido por até três jogos no Campeonato Inglês.,Diego Costa seguiu em campo após ser punido com um cartão amarelo.,1.75,0,"['atacante', 'diego', 'costa', 'poder', 'punir', 'três', 'jogo', 'campeonato', 'inglês']","['diego', 'Costa', 'seguir', 'campo', 'após', 'punir', 'cartão', 'amarelo']"
986,987,"Jogando com um a menos, fomos um time aguerrido a todo o momento.","Para Charles, jogar desfalcado, mostrou que o time foi corajoso.",3.75,0,"['jogar', 'pouco', 'time', 'aguerrido', 'todo', 'momento']","['Charles', 'jogar', 'desfalcar', 'mostrar', 'time', 'corajoso']"
987,988,"Com uma quebra para cada lado, o set foi mais uma vez decidido no tie-break.","O primeiro set foi equilibrado, sem quebra e decidido apenas no tie-break.",3.25,0,"['quebra', 'cada', 'lado', 'set', 'vez', 'decidir', 'tiebreak']","['primeiro', 'set', 'equilibrar', 'quebra', 'decidir', 'apenas', 'tiebreak']"
988,989,O controle de capitais são restrições sobre o quanto os clientes podem retirar dos bancos.,Controles de capitais são restrições na retirada de dinheiro dos bancos.,4.5,1,"['controle', 'capital', 'restrição', 'sobre', 'quanto', 'cliente', 'poder', 'retirar', 'banco']","['Controles', 'capital', 'restrição', 'retirar', 'dinheiro', 'banco']"
989,990,"Me resta denunciar, registrar ocorrência, e processar.","Na manhã de sábado, ela pretende registrar ocorrência na Polícia Civil.",3.0,0,"['restar', 'denunciar', 'registrar', 'ocorrência', 'processar']","['manhã', 'sábado', 'pretender', 'registrar', 'ocorrência', 'polícia', 'civil']"
990,991,A data foi criada para celebrar o aniversário de 30 anos do lançamento do Super Mario Bros.,"Em 13 de setembro de 2015, nosso querido Super Mario completou 30 anos de vida.",3.5,0,"['data', 'criar', 'celebrar', 'aniversário', '30', 'ano', 'lançamento', 'super', 'mario', 'bro']","['13', 'setembro', '2015', 'querido', 'super', 'mario', 'completar', '30', 'ano', 'vidar']"
991,992,"Danielly Rodrigues Ferreira, 17, teve traumatismo craniano e várias lesões pelo corpo.",A adolescente de 17 anos sofreu graves lesões.,4.0,1,"['danielly', 'rodrigues', 'ferreirar', '17', 'traumatismo', 'craniano', 'várias', 'lesão', 'corpo']","['adolescente', '17', 'ano', 'sofrer', 'grave', 'lesão']"
992,993,"Desse total, 3.924 estão em situação provisória aguardando julgamento.",Quatro em cada dez presos no Brasil estão atrás das grades aguardando um julgamento.,3.25,0,"['de esse', 'total', '3924', 'situação', 'provisório', 'aguardar', 'julgamento']","['quatro', 'cada', 'dez', 'preso', 'Brasil', 'atrás', 'grade', 'aguardar', 'julgamento']"
993,994,O Brasil enfrenta o Paraguai neste sábado pelas quartas de final da Copa América.,"Dois jogadores erraram cobranças de pênalti pela Seleção Brasileira neste sábado, em Concepción.",2.0,0,"['Brasil', 'enfrentar', 'paraguai', 'em este', 'sábado', 'quarto', 'final', 'copa', 'américo']","['dois', 'jogador', 'errar', 'cobrança', 'pênalti', 'seleção', 'brasileiro', 'em este', 'sábado', 'concepciónr']"
