,website,keywords,headlinePortuguese,headlineEnglish,sentimentScorePortuguese,sentimentScoreEnglish,sentimentMagnitudePortuguese,sentimentMagnitudeEnglish,isOnline,onlineStartDate,onlineEndDate,onlineTotalTimeMS
739,UOL,['Bolsonaro'],Bolsonaro insiste que governo não pode manter auxílio em R$ 600,Bolsonaro insists that government can not keep aid in R $ 600,-0.5,-0.699999988079071,0.5,0.699999988079071,False,2020-06-22 18:32:23.464000+00:00,2020-06-22 19:03:44.463000+00:00,1880999.0
740,UOL,['Teich'],Teich diz que país enfrenta covid com 'absoluta incapacidade de enxergar',Teich says country faces covid with 'absolute inability to see',-0.10000000149011612,-0.699999988079071,0.10000000149011612,0.699999988079071,False,2020-05-24 23:04:41.245000+00:00,2020-05-25 14:31:41.214000+00:00,55619969.0
741,O Antagonista,['Bolsonaro'],A saudação militar de Eduardo Bolsonaro,The military greeting of Eduardo Bolsonaro,0.4000000059604645,0.30000001192092896,0.4000000059604645,0.30000001192092896,False,2020-05-22 20:02:34.225000+00:00,2020-05-22 21:03:21.054000+00:00,3646829.0
742,UOL,['Covas'],Quarentena mais dura para capital de SP opõe equipes de Doria e Covas,Harsher quarantine for capital of SP opposes teams of Doria and Covas,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-05-27 00:05:54.918000+00:00,2020-05-27 11:03:53.877000+00:00,39478959.0
743,G1,['Bolsonaro'],Polícia cumpre mandado em chácara de grupos extremistas de apoio ao presidente Bolsonaro e apreende fogos de artifício e cofre,Police comply with a warrant in the farm of extremist groups supporting President Bolsonaro and seizes fireworks and safe,0.4000000059604645,-0.20000000298023224,0.4000000059604645,0.20000000298023224,False,2020-06-21 14:04:51.001000+00:00,2020-06-21 19:32:33.813000+00:00,19662812.0
744,UOL,['Moro'],Gilmar diz que Moro paga o preço por suas escolhas,Gilmar says Moro pays the price for his choices,0.0,0.0,0.0,0.0,False,2020-05-06 02:04:23.839000+00:00,2020-05-06 09:03:24.904000+00:00,25141065.0
745,Folha de SP,['Bolsonaro'],"Com governo desfigurado, Bolsonaro vocifera da rampa do Planalto","With disfigured government, Bolsonaro vocifera of the plateau ramp",-0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-05-13 20:05:08.055000+00:00,2020-05-13 20:31:39.832000+00:00,1591777.0
746,UOL,['Bolsonaro'],"Filhos só atrapalham e podem acabar com mandato de Bolsonaro, diz Olimpio","Children only get in the way and can end bolsonaro's mandate, says Olimpio",-0.5,-0.4000000059604645,0.5,0.4000000059604645,False,2020-06-18 18:31:32.121000+00:00,2020-06-18 21:32:12.556000+00:00,10840435.0
747,UOL,['Bolsonaro'],"Tribunal manda Bolsonaro entregar resultados de exames de coronavírus, e não relatório médico","Court orders Bolsonaro deliver results of coronavirus tests, not medical report",-0.10000000149011612,-0.6000000238418579,0.10000000149011612,0.6000000238418579,False,2020-05-07 00:02:15.486000+00:00,2020-05-07 12:31:30.745000+00:00,44955259.0
748,UOL,['Bolsonaro'],Bolsonaro diz que recebe 'informações pessoais' de militares e policiais,Bolsonaro says he receives 'personal information' from military and police,-0.10000000149011612,-0.5,0.10000000149011612,0.5,False,2020-05-23 11:31:33.990000+00:00,2020-05-23 12:32:19.533000+00:00,3645543.0
749,R7,['Bolsonaro'],Bolsonaro fala sobre Wilson Witzel : 'Já sabem onde ele vai estar né?',Bolsonaro talks about Wilson Witzel : 'Do you know where he's going to be right?',0.0,-0.10000000149011612,0.0,0.10000000149011612,False,2020-06-03 16:02:16.008000+00:00,2020-06-03 16:31:59.840000+00:00,1783832.0
750,G1,['Bolsonaro'],ANDRÉIA SADI: Bolsonaro e Pazuello já discutiam em abril dados 'divergentes',ANDRÉIA SADI: Bolsonaro and Pazuello already discussed in April 'divergent' data,0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-06-08 14:03:11.619000+00:00,2020-06-08 15:03:05.141000+00:00,3593522.0
751,UOL,['Bolsonaro'],Ministro do STF quer ouvir PGR para decidir sobre depoimento de Bolsonaro,Minister of the Supreme Court wants to hear PGR to decide on testimony Bolsonaro,0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-06-27 00:31:41.518000+00:00,2020-06-27 09:03:26.398000+00:00,30704880.0
752,R7,['Bolsonaro'],TSE retoma julgamento de ações contra chapa de Bolsonaro,TSE resumes trial of actions against Bolsonaro plate,0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-06-04 08:02:18.045000+00:00,2020-06-04 12:01:50.850000+00:00,14372805.0
753,R7,['Bolsonaro'],Ouvidoria pede investigação de PMs em ato anti-Bolsonaro,Ombudsman calls for investigation of PMs in anti-Bolsonaro act,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-06-08 23:02:14.051000+00:00,2020-06-09 10:02:42.596000+00:00,39628545.0
754,Folha de SP,"['Guedes', 'Weintraub']",Time de Guedes festeja saída de Weintraub do MEC e teme estragos no Banco Mundial,Guedes team celebrates Weintraub's departure from MEC and fears damage at World Bank,-0.10000000149011612,0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-06-20 07:02:25.749000+00:00,2020-06-20 14:02:28.317000+00:00,25202568.0
755,UOL,['Bolsonaro'],"Bolsonaro deflagra temores sobre democracia, diz Financial Times","Bolsonaro sparks fears about democracy, says Financial Times",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-06-07 20:31:44.638000+00:00,2020-06-08 02:04:37.808000+00:00,19973170.0
756,O Antagonista,['Bolsonaro'],Bolsonaro diz que Wassef causa estragos com suas entrevistas,Bolsonaro says Wassef wreaks havoc with his interviews,0.0,-0.5,0.0,0.5,False,2020-06-22 11:05:40.162000+00:00,2020-06-22 14:08:51.371000+00:00,10991209.0
757,UOL,['Bolsonaro'],Witzel diz que espera retomar diálogo com Bolsonaro e vê aproximação,Witzel says he hopes to resume dialogue with Bolsonaro and sees rapprochement,0.0,0.0,0.0,0.0,False,2020-06-09 17:31:55.846000+00:00,2020-06-09 21:32:10.582000+00:00,14414736.0
758,Folha de SP,['Bolsonaro'],"Em MP, Bolsonaro protege agente público de responsabilização por atos na pandemia","In MP, Bolsonaro protects public agent of accountability for acts in the pandemic",0.4000000059604645,0.20000000298023224,0.4000000059604645,0.20000000298023224,False,2020-05-14 12:02:56.204000+00:00,2020-05-14 13:31:59.802000+00:00,5343598.0
759,G1,['Bolsonaro'],Silêncio de Bolsonaro sobre ataque ao STF gera incômodo em ministros do governo,Bolsonaro silence on attack on the Supreme Court generates discomfort in government ministers,-0.10000000149011612,-0.800000011920929,0.10000000149011612,0.800000011920929,False,2020-06-15 21:02:03.549000+00:00,2020-06-15 22:03:16.722000+00:00,3673173.0
760,UOL,['Bolsonaro'],"Ministros criticam ida de Bolsonaro ao STF, e Toffoli também é alvo de reclamações","Ministers criticize bolsonaro's going to the Supreme Court, and Toffoli is also the target of complaints",-0.30000001192092896,-0.10000000149011612,0.30000001192092896,0.10000000149011612,False,2020-05-07 23:03:34.743000+00:00,2020-05-08 11:02:26.882000+00:00,43132139.0
761,Folha de SP,['Lula'],Lula pede desculpas após enaltecer a natureza pela criação do 'monstro do coronavírus',Lula apologizes after praising nature for the creation of the 'coronavirus monster',0.10000000149011612,0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-05-20 19:01:34.505000+00:00,2020-05-20 23:32:08.973000+00:00,16234468.0
762,G1,['Bolsonaro'],CAMAROTTI: Bolsonaro mantém silêncio sobre ataque ao STF,CAMAROTTI: Bolsonaro keeps quiet about attack on the Supreme Court,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-15 17:02:10.098000+00:00,2020-06-15 21:32:14.622000+00:00,16204524.0
763,O Antagonista,['Weintraub'],Weintraub depõe às 15h na PF,Weintraub testifies at 15h in PF,0.20000000298023224,-0.10000000149011612,0.20000000298023224,0.10000000149011612,False,2020-06-04 17:32:33.137000+00:00,2020-06-04 19:31:38.768000+00:00,7145631.0
764,UOL,['Bolsonaro'],Por que Bolsonaro importa ideias que não entende?,Why does Bolsonaro care about ideas he doesn't understand?,0.0,-0.800000011920929,0.0,0.800000011920929,False,2020-06-04 18:32:35.538000+00:00,2020-06-05 13:31:46.502000+00:00,68350964.0
765,UOL,['Regina Duarte'],"Após processo de 'fritura', Regina Duarte deixa Cultura","After 'frying' process, Regina Duarte leaves Culture",0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-20 15:03:08.422000+00:00,2020-05-20 16:32:09.506000+00:00,5341084.0
766,G1,['Bolsonaro'],Teich deixa o Ministério da Saúde antes de completar um mês no cargo e após divergir de Bolsonaro,Teich leaves the Ministry of Health before completing a month in office and after diverging from Bolsonaro,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-05-15 19:03:17.974000+00:00,2020-05-15 23:02:07.200000+00:00,14329226.0
767,G1,['Bolsonaro'],"Bolsonaro admite que falou 'PF' na reunião ministerial, mas que a interferência não era da inteligência, e sim na segurança familiar","Bolsonaro admits that he spoke 'PF' at the ministerial meeting, but that the interference was not intelligence, but in family security",0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-15 12:30:59.362000+00:00,2020-05-15 13:02:28.833000+00:00,1889471.0
768,O Antagonista,['Bolsonaro'],Flávio Bolsonaro e ministro tentam distensionar relação do governo com tribunais,Flávio Bolsonaro and minister try to distension the government's relationship with courts,-0.30000001192092896,-0.4000000059604645,0.30000001192092896,0.4000000059604645,False,2020-06-03 21:32:16.075000+00:00,2020-06-03 23:02:06.650000+00:00,5390575.0
769,UOL,['Bolsonaro'],"Sakamoto: Vírus poderia matar menos, se Bolsonaro não dissesse ser bobagem",Sakamoto: Virus could kill less if Bolsonaro did not say it was nonsense,-0.10000000149011612,-0.800000011920929,0.10000000149011612,0.800000011920929,False,2020-05-20 02:03:27.805000+00:00,2020-05-20 09:04:15.682000+00:00,25247877.0
770,UOL,['Bolsonaro'],Bolsonaro vai a ato com aglomeração e fala em manifestação 'pura da democracia',Bolsonaro goes to act with agglomeration and speaks in manifestation 'pure democracy',0.0,-0.5,0.0,0.5,False,2020-05-17 21:02:40.816000+00:00,2020-05-18 02:03:13.342000+00:00,18032526.0
771,O Antagonista,['Weintraub'],Reitor nomeado por Weintraub pode virar alvo do inquérito das fake news,Dean appointed by Weintraub may become target of fake news inquiry,-0.4000000059604645,-0.699999988079071,0.4000000059604645,0.699999988079071,False,2020-06-22 21:31:48.747000+00:00,2020-06-23 00:31:47.886000+00:00,10799139.0
772,G1,['Bolsonaro'],Manifestantes fazem ato contra Bolsonaro e a favor da democracia em São Paulo,Protesters act against Bolsonaro and in favor of democracy in São Paulo,0.0,-0.699999988079071,0.0,0.699999988079071,False,2020-06-07 18:03:13.765000+00:00,2020-06-07 22:32:04.458000+00:00,16130693.0
773,R7,['Weintraub'],STF dá 48h para governo explicar portaria de Weintraub contra cotas,Supreme Court gives 48h to government explain weintraub ordinance against quotas,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-06-22 22:31:51.364000+00:00,2020-06-22 23:02:11.391000+00:00,1820027.0
774,R7,['Bolsonaro'],Governo decide entregar ao STF resultado dos exames de Bolsonaro,Government decides to deliver to the Supreme Court results of bolsonaro exams,0.0,0.0,0.0,0.0,False,2020-05-13 01:31:34.445000+00:00,2020-05-13 02:02:38.714000+00:00,1864269.0
775,O Antagonista,['Bolsonaro'],Bolsonaro promete mudanças em legislação sobre armas “até amanhã”,"Bolsonaro promises changes in gun legislation ""by tomorrow""",0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-06-04 13:03:44.368000+00:00,2020-06-04 14:03:03.035000+00:00,3558667.0
776,UOL,['Bolsonaro'],"'Impiedade' de Bolsonaro com mortes por covid-19 parece psicopatia, diz psicanalista Maria Rita Kehl","Bolsonaro's 'Impiety' with deaths by covid-19 seems psychopathic, says psychoanalyst Maria Rita Kehl",0.0,-0.4000000059604645,0.0,0.4000000059604645,False,2020-06-08 15:31:19.814000+00:00,2020-06-08 18:33:19.408000+00:00,10919594.0
777,G1,['Covas'],Bruno Covas é diagnosticado com coronavírus,Bruno Covas is diagnosed with coronavirus,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-06-14 16:32:23.242000+00:00,2020-06-14 17:31:13.673000+00:00,3530431.0
778,R7,['Bolsonaro'],TRF3 suspende ordem para que a AGU entregue exames de Bolsonaro,TRF3 suspends order for AGU to deliver bolsonaro exams,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-02 21:03:25.954000+00:00,2020-05-03 01:03:18.133000+00:00,14392179.0
779,R7,['Weintraub'],STF tem maioria para manter Weintraub em inquérito,Supreme Court has majority to keep Weintraub in inquiry,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-06-16 12:04:22.167000+00:00,2020-06-16 15:03:40.403000+00:00,10758236.0
780,G1,['Bolsonaro'],Bolsonaro inaugura hospital de campanha em Goiás e leva tombo após chegar de helicóptero; vídeo,Bolsonaro inaugurates field hospital in Goiás and takes fall after arriving by helicopter; Video,0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-06-05 13:31:44.271000+00:00,2020-06-06 01:03:39.078000+00:00,41514807.0
781,UOL,['Bolsonaro'],Bolsonaro ameaça demitir ministro que não ceder cargos para centrão,Bolsonaro threatens to dismiss minister who does not cede positions to centrão,-0.6000000238418579,-0.5,0.6000000238418579,0.5,False,2020-05-02 09:02:18.753000+00:00,2020-05-02 18:01:36.681000+00:00,32357928.0
782,R7,['Bolsonaro'],Bolsonaro diz que superintendente do RJ vai ser número 2 da corporação,Bolsonaro says rj superintendent will be number 2 corporation,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-05 15:03:17.125000+00:00,2020-05-05 16:03:11.546000+00:00,3594421.0
783,Folha de SP,"['Bolsonaro', 'Lula']",Justiça arquiva contra Lula por chamar Bolsonaro de miliciano,Justice files against Lula for calling Bolsonaro a militiaman,0.0,-0.4000000059604645,0.0,0.4000000059604645,False,2020-05-22 01:04:02.629000+00:00,2020-05-22 02:01:42.267000+00:00,3459638.0
784,Folha de SP,['Bolsonaro'],"Ordens absurdas não se cumprem, temos que botar limites, diz Bolsonaro em recado ao STF","Absurd orders are not fulfilled, we have to put limits, says Bolsonaro in message to the Supreme Court",-0.6000000238418579,-0.699999988079071,0.6000000238418579,0.699999988079071,False,2020-05-28 14:32:25.546000+00:00,2020-05-28 15:32:26.354000+00:00,3600808.0
785,O Antagonista,['Bolsonaro'],AGU vai recorrer para Bolsonaro não precisar usar máscara,AGU will appeal to Bolsonaro not need to wear mask,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-06-23 21:05:08.725000+00:00,2020-06-23 23:31:34.187000+00:00,8785462.0
786,O Antagonista,['Moro'],Moro é candidato?,Moro is a candidate?,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-30 15:03:58.029000+00:00,2020-05-30 19:32:04.183000+00:00,16086154.0
787,Folha de SP,['Bolsonaro'],Decisão de Moraes cita 'gabinete do ódio' e assessores de Bolsonaro,Moraes decision cites 'office of hatred' and bolsonaro aides,0.0,-0.699999988079071,0.0,0.699999988079071,False,2020-05-27 17:03:18.669000+00:00,2020-05-27 17:32:01.386000+00:00,1722717.0
788,UOL,['Bolsonaro'],OAB vê 'fundo do poço' e acelera trâmite para impeachment de Bolsonaro,OAB sees 'rock bottom' and accelerates procedure for impeachment bolsonaro,0.20000000298023224,0.0,0.20000000298023224,0.0,False,2020-06-22 16:31:44.624000+00:00,2020-06-22 17:03:14.649000+00:00,1890025.0
789,UOL,['Bolsonaro'],Processos no TSE abastecidos com inquérito de fake news afligem Bolsonaro,Tse lawsuits fueled with fake news inquiry afflict Bolsonaro,-0.4000000059604645,-0.699999988079071,0.4000000059604645,0.699999988079071,False,2020-06-21 09:03:25.744000+00:00,2020-06-21 16:31:44.779000+00:00,26899035.0
790,G1,['Onyx'],"Onyx: 'Temos que rapidamente voltar ao que estávamos fazendo, porque era o caminho certo'","Onyx: 'We have to quickly get back to what we were doing, because it was the right way'",0.20000000298023224,-0.30000001192092896,0.20000000298023224,0.30000001192092896,False,2020-05-22 21:32:28.606000+00:00,2020-05-22 22:32:20.250000+00:00,3591644.0
791,G1,['Bolsonaro'],Jornal obtém na Justiça acesso a testes para Covid-19 de Bolsonaro,Newspaper gets in court access to tests for Covid-19 Bolsonaro,0.0,0.0,0.0,0.0,False,2020-04-28 12:31:17.142000+00:00,2020-04-28 14:31:42.223000+00:00,7225081.0
792,G1,"['Bolsonaro', 'Heleno']",Heleno diz que nota sobre celular de Bolsonaro não se referia a intervenção,Heleno says bolsonaro's cell phone note did not refer to intervention,-0.10000000149011612,-0.699999988079071,0.10000000149011612,0.699999988079071,False,2020-05-28 18:02:57.878000+00:00,2020-05-28 18:31:52.917000+00:00,1735039.0
793,G1,['Bolsonaro'],Bolsonaro diz que superintende do RJ será nº 2 da PF 'a convite' do novo diretor,Bolsonaro says rj superintende will be no. 2 PF 'at the invitation' of the new director,0.10000000149011612,0.0,0.10000000149011612,0.10000000149011612,False,2020-05-05 14:31:40.864000+00:00,2020-05-05 16:03:10.870000+00:00,5490006.0
794,UOL,['Bolsonaro'],Fux será relator de processo que pode reabrir investigação da facada em Bolsonaro,Fux will be rapporteur of process that can reopen investigation of the stabbing in Bolsonaro,0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-06-21 16:31:43.741000+00:00,2020-06-22 00:32:38.521000+00:00,28854780.0
795,G1,['Bolsonaro'],Bolsonaro confirma mudanças no boletim da Covid; número total de mortes deixou de ser divulgado,Bolsonaro confirms changes in covid's newsletter; total number of deaths no longer disclosed,-0.10000000149011612,-0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-06 18:31:47.538000+00:00,2020-06-06 22:01:42.750000+00:00,12595212.0
796,Folha de SP,['Teich'],Ex-ministro da Saúde Nelson Teich é o convidado de hoje; acompanhe,Former Health Minister Nelson Teich is today's guest; Follow,0.30000001192092896,0.0,0.30000001192092896,0.0,False,2020-06-25 20:31:38.954000+00:00,2020-06-25 21:31:06.417000+00:00,3567463.0
797,R7,['Bolsonaro'],"Antes de reunião, Bolsonaro faz crítica a 'autoridades estaduais'","Before meeting, Bolsonaro criticizes 'state authorities'",0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-21 13:31:38.196000+00:00,2020-05-21 18:31:55.500000+00:00,18017304.0
798,UOL,['Bolsonaro'],"Alvo de intervenção de Bolsonaro, PF do Rio perdeu produtividade","Bolsonaro intervention target, Rio's PF lost productivity",-0.5,0.0,0.5,0.0,False,2020-04-28 22:01:18.367000+00:00,2020-04-29 01:31:36.005000+00:00,12617638.0
799,O Antagonista,['Bolsonaro'],"Exclusivo: advogado de Bolsonaro, Wassef vende consultoria a empresa com interesses no governo","Exclusive: Bolsonaro lawyer, Wassef sells consulting company with interests in government",0.0,0.0,0.0,0.0,False,2020-06-23 22:31:20.466000+00:00,2020-06-24 03:31:30.976000+00:00,18010510.0
800,UOL,['Bolsonaro'],Bolsonaro desmente fala de Ramos e diz que ministro 'se equivocou',Bolsonaro belies Ramos speaks and says minister 'made a mistake',0.0,-0.699999988079071,0.0,0.699999988079071,False,2020-05-13 16:04:06.049000+00:00,2020-05-13 20:05:12.486000+00:00,14466437.0
801,O Antagonista,['Weintraub'],Ibaneis notifica Weintraub por não usar máscara,Ibaneis notifies Weintraub for not wearing a mask,-0.20000000298023224,0.30000001192092896,0.20000000298023224,0.30000001192092896,False,2020-06-15 15:03:11.463000+00:00,2020-06-15 16:02:44.399000+00:00,3572936.0
802,G1,['Bolsonaro'],Nota de Bolsonaro foi resposta calculada a operação contra aliados,Bolsonaro note was calculated response to operation against allies,0.0,-0.10000000149011612,0.0,0.10000000149011612,False,2020-06-17 14:32:04.276000+00:00,2020-06-17 17:31:13.387000+00:00,10749111.0
803,UOL,['Moro'],Judiciário vê saída de Moro como oportunidade para mais diálogo com governo,Judiciary sees Moro's departure as an opportunity for more dialogue with government,0.10000000149011612,0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-04-30 16:02:43.828000+00:00,2020-04-30 18:02:47.662000+00:00,7203834.0
804,O Antagonista,['Moro'],Moro ainda preside a República de Curitiba,Moro still presides over the Republic of Curitiba,0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-29 22:05:46.774000+00:00,2020-05-30 00:31:29.185000+00:00,8742411.0
805,UOL,['Weintraub'],Weintraub pode ter de esperar por cargo no Banco Mundial,Weintraub may have to wait for position at the World Bank,0.0,-0.10000000149011612,0.0,0.10000000149011612,False,2020-06-23 00:31:46.317000+00:00,2020-06-23 17:32:15.777000+00:00,61229460.0
806,UOL,['Moro'],"'Tão loucos mas, ainda bem, tão poucos', provoca Moro sobre protesto em Brasília","'So crazy but, good, so few', provokes Moro on protest in Brasilia",-0.10000000149011612,-0.30000001192092896,0.10000000149011612,0.30000001192092896,False,2020-05-31 17:32:36.315000+00:00,2020-05-31 18:01:31.782000+00:00,1735467.0
807,UOL,['Bolsonaro'],Bolsonaro cita dificuldade em estender R$ 600: 'Endividamento enorme',Bolsonaro cites difficulty in extending R $ 600: 'Huge debt',-0.20000000298023224,-0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-06-18 23:03:00.559000+00:00,2020-06-19 09:04:24.719000+00:00,36084160.0
808,UOL,['Bolsonaro'],Pequeno rupo faz ato contra governo Bolsonaro na área central de Brasília,Small rupo makes act against Bolsonaro government in the central area of Brasilia,0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-06-13 15:32:22.154000+00:00,2020-06-13 16:03:30.999000+00:00,1868845.0
809,Terça Livre,['Bolsonaro'],"Brasileiro confia mais em Bolsonaro que em Bonner, segundo pesquisa","Brazilian trusts Bolsonaro more than bonner, according to research",0.10000000149011612,0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-22 15:04:20.567000+00:00,2020-06-24 16:02:19.601000+00:00,176279034.0
810,G1,['Moro'],PGR aguarda depoimento de Moro para decidir sobre perícia em celular,PGR awaits moro testimony to decide on expertise in mobile,0.30000001192092896,0.699999988079071,0.30000001192092896,0.699999988079071,False,2020-04-28 03:02:29.113000+00:00,2020-04-28 12:31:17.771000+00:00,34128658.0
811,O Antagonista,['Bolsonaro'],"Contrariando ala ideológica, área técnica aconselha Bolsonaro a não processar Celso de Mello","Contrary ideological wing, technical area advises Bolsonaro not to sue Celso de Mello",-0.20000000298023224,-0.6000000238418579,0.20000000298023224,0.6000000238418579,False,2020-05-27 19:32:37.789000+00:00,2020-05-27 21:05:32.971000+00:00,5575182.0
812,UOL,['Guedes'],Guedes sobre Banco do Brasil: 'Tem que vender essa po... logo',Guedes on Banco do Brasil: 'You have to sell this po... soon',0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-22 23:02:40.693000+00:00,2020-05-23 00:33:20.447000+00:00,5439754.0
813,G1,['Weintraub'],Weintraub constrangeu Planalto com saída repentina do Brasil,Weintraub embarrassed Plateau with sudden departure from Brazil,0.10000000149011612,-0.800000011920929,0.10000000149011612,0.800000011920929,False,2020-06-23 19:04:41.985000+00:00,2020-06-23 20:03:41.325000+00:00,3539340.0
814,UOL,['Bolsonaro'],Os delírios de Bolsonaro e seus acólitos,The delusions of Bolsonaro and his acolytes,0.10000000149011612,-0.10000000149011612,0.10000000149011612,0.10000000149011612,False,2020-06-18 00:31:48.985000+00:00,2020-06-18 13:04:15.545000+00:00,45146560.0
815,O Antagonista,['Bolsonaro'],Kufa tenta livrar publicitário de Bolsonaro de inquérito no STF,Kufa tries to rid publicist bolsonaro inquiry in the Supreme Court,0.0,-0.20000000298023224,0.0,0.20000000298023224,False,2020-06-24 10:32:18.207000+00:00,2020-06-24 13:31:52.781000+00:00,10774574.0
816,UOL,"['Bolsonaro', 'Moro']","Kotscho: Resumindo, Bolsonaro precisava rifar Moro, e Moro já queria cair fora","Kotscho: In short, Bolsonaro needed to laugh Moro, and Moro already wanted to get out",0.0,0.20000000298023224,0.0,0.20000000298023224,False,2020-05-13 22:31:53.477000+00:00,2020-05-14 01:32:17.974000+00:00,10824497.0
817,UOL,['Bolsonaro'],Bolsonaro precisa mostrar testes de covid-19,Bolsonaro needs to show tests of covid-19,0.0,0.0,0.0,0.0,False,2020-05-04 13:31:00.492000+00:00,2020-05-04 23:03:56.765000+00:00,34376273.0
818,G1,['Crivella'],Crivella diz que vai prorrogar por mais 1 semana o isolamento no Rio,Crivella says he will extend for another week the isolation in Rio,-0.10000000149011612,0.0,0.10000000149011612,0.0,False,2020-05-19 15:04:28.539000+00:00,2020-05-19 15:31:45.054000+00:00,1636515.0
819,O Antagonista,['Bolsonaro'],Alguém avisou Bolsonaro da prisão de Picciani?,Did anyone warn Bolsonaro of Picciani prison?,0.10000000149011612,-0.4000000059604645,0.10000000149011612,0.4000000059604645,False,2020-05-20 00:04:29.583000+00:00,2020-05-20 10:01:48.511000+00:00,35838928.0
820,G1,['Bolsonaro'],"Bolsonaro anuncia novo protocolo sobre cloroquina e faz piada, no dia que o país tem mil mortos","Bolsonaro announces new protocol on chloroquine and makes joke, on the day that the country has a thousand dead",-0.10000000149011612,-0.699999988079071,0.10000000149011612,0.699999988079071,False,2020-05-20 03:02:30.109000+00:00,2020-05-20 04:01:41.067000+00:00,3550958.0
821,O Antagonista,['Bolsonaro'],Oposição mantém PT e PSOL de fora de ato virtual pelo impeachment de Bolsonaro,Opposition keeps PT and PSOL out of virtual act by impeachment bolsonaro,0.10000000149011612,-0.699999988079071,0.10000000149011612,0.699999988079071,False,2020-05-18 20:01:40.023000+00:00,2020-05-18 22:02:12.285000+00:00,7232262.0
822,UOL,['Bolsonaro'],Câmara aprova texto-base de projeto defendido por Bolsonaro que muda Código de Trânsito,House approves text-base project defended by Bolsonaro that changes Traffic Code,0.10000000149011612,0.20000000298023224,0.10000000149011612,0.20000000298023224,False,2020-06-23 23:31:33.156000+00:00,2020-06-24 02:04:15.800000+00:00,9162644.0
823,G1,['Moro'],Planalto informa à Polícia Federal que Moro não assinou exoneração de Valeixo,Planalto informs the Federal Police that Moro did not sign valeixo's dismissal,0.0,-0.30000001192092896,0.0,0.30000001192092896,False,2020-05-25 19:03:31.690000+00:00,2020-05-25 23:03:47.040000+00:00,14415350.0
824,UOL,['Bolsonaro'],"Bolsonaro esteve, em média, em 1 aglomeração por dia durante a pandemia","Bolsonaro was, on average, at 1 agglomeration per day during the pandemic",0.20000000298023224,-0.10000000149011612,0.20000000298023224,0.10000000149011612,False,2020-05-17 14:31:07.900000+00:00,2020-05-17 16:02:08.441000+00:00,5460541.0
825,UOL,['Bolsonaro'],"'Nem lembro qual o partido dele', diz Bolsonaro após dar ministério a centrão","'I don't even remember what his party is,' Bolsonaro says after giving ministry to center",0.0,-0.6000000238418579,0.0,0.6000000238418579,False,2020-06-11 11:02:34.989000+00:00,2020-06-11 15:01:40.256000+00:00,14345267.0
826,UOL,['Lula'],Lula descarta candidatura em 2022  e diz querer ser 'cabo eleitoral',Lula dismisses candidacy in 2022 and says he wants to be 'electoral cable',0.0,-0.10000000149011612,0.0,0.10000000149011612,False,2020-04-30 15:02:17.725000+00:00,2020-04-30 16:31:23.773000+00:00,5346048.0
827,UOL,"['Bolsonaro', 'Moro']",Aras quer vídeo de reunião entre Moro e Bolsonaro e que PF ouça ministros,Aras wants video meeting between Moro and Bolsonaro and that PF listen ministers,0.20000000298023224,0.20000000298023224,0.20000000298023224,0.20000000298023224,False,2020-05-04 20:02:57.003000+00:00,2020-05-05 05:30:46.317000+00:00,34069314.0
